//  MINLP written by GAMS Convert at 04/07/20 12:05:45
//  
//  Equation counts
//      Total        E        G        L        N        X        C        B
//        766      221       63      482        0        0        0        0
//  
//  Variable counts
//                   x        b        i      s1s      s2s       sc       si
//      Total     cont   binary  integer     sos1     sos2    scont     sint
//        570      510       60        0        0        0        0        0
//  FX      0        0        0        0        0        0        0        0
//  
//  Nonzero counts
//      Total    const       NL      DLL
//       2265     1965      300        0
//
// Reformulation has removed 1 variable and 1 equation
//

OPTIONS{
EpsA: 1e-9;
EpsR: 1e-5;
MaxIter: 1000000;
MaxTime: 3600;
Threads: 1;
GamsCntr: "/home/bernalde/Repositories/conic_disjunctive/225k/gamscntr.dat";
TimName: "/home/bernalde/Repositories/conic_disjunctive/225k/tim.dat";
ResName: "/home/bernalde/Repositories/conic_disjunctive/225k/res.dat";
SumName: "/home/bernalde/Repositories/conic_disjunctive/225k/sum.dat";
OptName: "/home/bernalde/Repositories/conic_disjunctive/225k/opt.dat";
cplexlibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libcplex.so";
xprslibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libxprs.so";
}

BINARY_VARIABLES  b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18
          ,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35
          ,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52
          ,b53,b54,b55,b56,b57,b58,b59,b60,b61;

VARIABLES  x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78
          ,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95
          ,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109
          ,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122
          ,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135
          ,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148
          ,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161
          ,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174
          ,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187
          ,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
          ,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213
          ,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226
          ,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239
          ,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252
          ,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265
          ,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278
          ,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291
          ,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304
          ,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317
          ,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330
          ,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343
          ,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356
          ,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369
          ,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382
          ,x383,x384,x385,x386,x387,x388,x389,x390,x391,x392,x393,x394,x395
          ,x396,x397,x398,x399,x400,x401,x402,x403,x404,x405,x406,x407,x408
          ,x409,x410,x411,x412,x413,x414,x415,x416,x417,x418,x419,x420,x421
