                           count      mean          std        min          25%          50%          75%          max
Direction                    425  0.774118     0.633788         -1            1            1            1            1
NumberOfDiscreteVariables    425   65.4282      66.2943          4           38           50           74          576
NumberOfEquations            425   189.692      425.908          7           56           86          123         3729
NumberOfNonZeros             425     733.8      1020.18         19          336          469          661         9201
NumberOfNonlinearNonZeros    425   163.694      190.807          3           50           90          250         1000
NumberOfVariables            425   121.861      168.323          7           56           87          112         1441
KnownPrimalBound             425  -220.183      3783.74   -7947.05     -24.9232     0.352235      6.38399      41573.3
KnownDualBound               425  -220.255      3783.74   -7947.05     -24.9232     0.352235      6.38399      41573.3
TerminationStatus           8310  0.970397      2.43472          0            0            0            0            8
PrimalBound                 8310       NaN          NaN       -inf     -26.1107     0.555457      8.12672          inf
DualBound                   8310       NaN          NaN       -inf     -27.9105     0.200849      6.23832          inf
SolverTime                  8199   668.009      1201.53      0.007        3.694       44.703      513.916      7225.72
ETSolver                    8310   659.377      1193.93  0.0199996        3.403       42.968      502.782      3712.97
NumberOfIterations          8004    537966  2.22988e+06          0            0            0        30602  4.53727e+07
NumberOfDomainViolations    6072         0            0          0            0            0            0            0
NumberOfNodes               8113   34924.3       120026          0          109         1671        10554        1e+06
Fail                       10200       NaN          NaN        NaN          NaN          NaN          NaN          NaN
FailReason                 10200       NaN          NaN        NaN          NaN          NaN          NaN          NaN
Gap                         8310       inf          NaN -0.0610729            0            0  3.00873e-05          inf
PrimalGap                   9576       inf          NaN   -10.6779 -3.39798e-08  4.66821e-07          inf          inf
DualGap                     9576       inf          NaN   -0.79051 -7.63469e-08  7.07815e-06      2.33763          inf
