                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
RSyn0805M02                   -1.0                      148.0              770.0            1952.0                        6.0              361.0       2238.395000     2238.395000  False           
RSyn0805M03                   -1.0                      222.0             1285.0            3230.0                        9.0              541.0       3068.931000     3068.931000  False           
RSyn0805M04                   -1.0                      296.0             1887.0            4709.0                       12.0              721.0       7174.219000     7174.219000  False           
RSyn0810M02                   -1.0                      168.0              867.0            2189.0                       12.0              411.0       1741.387000     1741.387000  False           
RSyn0810M03                   -1.0                      252.0             1453.0            3638.0                       18.0              616.0       2722.448000     2722.448000  False           
RSyn0810M04                   -1.0                      336.0             2141.0            5323.0                       24.0              821.0       6581.934000     6581.934000  False           
RSyn0815M02                   -1.0                      188.0              982.0            2476.0                       22.0              471.0       1774.397000     1774.397000  False           
RSyn0815M03                   -1.0                      282.0             1648.0            4121.0                       33.0              706.0       2827.926000     2827.926000  False           
RSyn0815M04                   -1.0                      376.0             2431.0            6037.0                       44.0              941.0       3410.854000     3410.854000  False           
RSyn0820M02                   -1.0                      208.0             1075.0            2703.0                       28.0              511.0       1092.091000     1092.091000  False           
RSyn0820M03                   -1.0                      312.0             1810.0            4514.0                       42.0              766.0       2028.812000     2028.812000  False           
RSyn0820M04                   -1.0                      416.0             2677.0            6631.0                       56.0             1021.0       2450.772000     2450.772000  False           
RSyn0830M02                   -1.0                      248.0             1273.0            3195.0                       40.0              621.0        730.507200      730.507200  False           
RSyn0830M03                   -1.0                      372.0             2152.0            5359.0                       60.0              931.0       1543.059000     1543.059000  False           
RSyn0830M04                   -1.0                      496.0             3193.0            7901.0                       80.0             1241.0       2529.073000     2529.073000  False           
RSyn0840M02                   -1.0                      288.0             1481.0            3705.0                       56.0              721.0        734.983500      734.983500  False           
RSyn0840M03                   -1.0                      432.0             2509.0            6227.0                       84.0             1081.0       2742.646000     2742.646000  False           
RSyn0840M04                   -1.0                      576.0             3729.0            9201.0                      112.0             1441.0       2564.499000     2564.499000  False           
Syn05M02                      -1.0                       20.0              102.0             264.0                        6.0               61.0       3032.735000     3032.735000  False           
Syn05M03                      -1.0                       30.0              175.0             448.0                        9.0               91.0       4027.372000     4027.372000  False           
Syn05M04                      -1.0                       40.0              263.0             667.0                       12.0              121.0       5510.387000     5510.387000  False           
Syn10M02                      -1.0                       40.0              199.0             501.0                       12.0              111.0       2310.301000     2310.301000  False           
Syn10M03                      -1.0                       60.0              343.0             856.0                       18.0              166.0       3354.683000     3354.683000  False           
Syn10M04                      -1.0                       80.0              517.0            1281.0                       24.0              221.0       4557.062000     4557.062000  False           
Syn15M02                      -1.0                       60.0              314.0             784.0                       22.0              171.0       2832.749000     2832.749000  False           
Syn15M03                      -1.0                       90.0              538.0            1333.0                       33.0              256.0       3850.182000     3850.182000  False           
Syn15M04                      -1.0                      120.0              807.0            1987.0                       44.0              341.0       4937.478000     4937.478000  False           
Syn20M02                      -1.0                       80.0              407.0            1011.0                       28.0              211.0       1752.133000     1752.133000  False           
Syn20M03                      -1.0                      120.0              700.0            1726.0                       42.0              316.0       2646.951000     2646.951000  False           
Syn20M04                      -1.0                      160.0             1053.0            2581.0                       56.0              421.0       3532.744000     3532.744000  False           
Syn30M02                      -1.0                      120.0              605.0            1503.0                       40.0              321.0        399.683100      399.683100  False           
Syn30M03                      -1.0                      180.0             1042.0            2569.0                       60.0              481.0        654.154200      654.154200  False           
Syn30M04                      -1.0                      240.0             1569.0            3845.0                       80.0              641.0        865.722000      865.722000  False           
Syn40M02                      -1.0                      160.0              813.0            2013.0                       56.0              421.0        388.772400      388.772400  False           
Syn40M03                      -1.0                      240.0             1399.0            3439.0                       84.0              631.0        395.148000      395.148000  False           
Syn40M04                      -1.0                      320.0             2105.0            5145.0                      112.0              841.0        901.751100      901.751100  False           
RSyn0805                      -1.0                       69.0              287.0             746.0                        3.0              171.0       1296.121000     1296.121000  False           
RSyn0810                      -1.0                       74.0              313.0             817.0                        6.0              186.0       1721.448000     1721.448000  False           
RSyn0815                      -1.0                       79.0              348.0             910.0                       11.0              206.0       1269.926000     1269.926000  False           
RSyn0820                      -1.0                       84.0              372.0             976.0                       14.0              216.0       1150.301000     1150.301000  False           
RSyn0830                      -1.0                       94.0              426.0            1131.0                       20.0              251.0        510.072000      510.072000  False           
RSyn0840                      -1.0                      104.0              485.0            1291.0                       28.0              281.0        325.554500      325.554500  False           
Syn05                         -1.0                        5.0               29.0              84.0                        3.0               21.0        837.732400      837.732400  False           
Syn10                         -1.0                       10.0               55.0             155.0                        6.0               36.0       1267.354000     1267.354000  False           
Syn15                         -1.0                       15.0               90.0             246.0                       11.0               56.0        853.284700      853.284700  False           
Syn20                         -1.0                       20.0              114.0             312.0                       14.0               66.0        924.263300      924.263300  False           
Syn30                         -1.0                       30.0              168.0             467.0                       20.0              101.0        138.159600      138.159600  False           
Syn40                         -1.0                       40.0              227.0             627.0                       28.0              131.0         67.713260       67.713260  False           
proc_100                       1.0                      121.0              284.0             966.0                      100.0              188.0         31.139250       31.139250  False           
proc_100b                      1.0                      121.0              284.0             966.0                      100.0              188.0         31.139080       31.139080  False           
proc_21                        1.0                       21.0               54.0             169.0                       15.0               41.0         17.196230       17.196230  False           
proc_21b                       1.0                       21.0               54.0             170.0                       15.0               41.0         17.195910       17.195910  False           
proc_31                        1.0                       41.0              100.0             324.0                       31.0               76.0         12.245620       12.245620  False           
proc_31b                       1.0                       41.0              100.0             328.0                       31.0               76.0         12.245630       12.245630  False           
proc_36                        1.0                       46.0              110.0             362.0                       36.0               81.0         12.114190       12.114190  False           
proc_36b                       1.0                       46.0              110.0             363.0                       36.0               81.0         12.114180       12.114180  False           
proc_48                        1.0                       61.0              147.0             491.0                       48.0              105.0         12.142450       12.142450  False           
proc_48b                       1.0                       61.0              147.0             494.0                       48.0              105.0         12.142450       12.142450  False           
exp_random_10_10_10_1          1.0                      100.0              111.0            1311.0                      100.0              112.0        -19.478090      -19.478090  False           
exp_random_10_10_10_10         1.0                      100.0              111.0            1311.0                      100.0              112.0        -23.820370      -23.820370  False           
exp_random_10_10_10_2          1.0                      100.0              111.0            1311.0                      100.0              112.0        -28.871870      -28.871870  False           
exp_random_10_10_10_3          1.0                      100.0              111.0            1311.0                      100.0              112.0        -31.529400      -31.529400  False           
exp_random_10_10_10_4          1.0                      100.0              111.0            1311.0                      100.0              112.0        -31.503910      -31.503910  False           
exp_random_10_10_10_5          1.0                      100.0              111.0            1311.0                      100.0              112.0        -40.234520      -40.234520  False           
exp_random_10_10_10_6          1.0                      100.0              111.0            1311.0                      100.0              112.0        -36.892820      -36.892820  False           
exp_random_10_10_10_7          1.0                      100.0              111.0            1311.0                      100.0              112.0        -29.624170      -29.624170  False           
exp_random_10_10_10_8          1.0                      100.0              111.0            1311.0                      100.0              112.0        -34.276860      -34.276860  False           
exp_random_10_10_10_9          1.0                      100.0              111.0            1311.0                      100.0              112.0        -24.923180      -24.923180  False           
exp_random_10_10_5_1           1.0                      100.0              111.0             806.0                      100.0              107.0        -17.221420      -17.221420  False           
exp_random_10_10_5_10          1.0                      100.0              111.0             806.0                      100.0              107.0        -11.377050      -11.377050  False           
exp_random_10_10_5_2           1.0                      100.0              111.0             806.0                      100.0              107.0        -16.750960      -16.750960  False           
exp_random_10_10_5_3           1.0                      100.0              111.0             806.0                      100.0              107.0        -23.187260      -23.187260  False           
exp_random_10_10_5_4           1.0                      100.0              111.0             806.0                      100.0              107.0        -23.571260      -23.571260  False           
exp_random_10_10_5_5           1.0                      100.0              111.0             806.0                      100.0              107.0        -26.110730      -26.110730  False           
exp_random_10_10_5_6           1.0                      100.0              111.0             806.0                      100.0              107.0        -17.473860      -17.473860  False           
exp_random_10_10_5_7           1.0                      100.0              111.0             806.0                      100.0              107.0        -18.247350      -18.247350  False           
exp_random_10_10_5_8           1.0                      100.0              111.0             806.0                      100.0              107.0        -17.935140      -17.935140  False           
exp_random_10_10_5_9           1.0                      100.0              111.0             806.0                      100.0              107.0        -19.377350      -19.377350  False           
exp_random_10_5_10_1           1.0                       50.0               61.0             661.0                       50.0               62.0        -12.109250      -12.109250  False           
exp_random_10_5_10_10          1.0                       50.0               61.0             661.0                       50.0               62.0         -9.184288       -9.184288  False           
exp_random_10_5_10_2           1.0                       50.0               61.0             661.0                       50.0               62.0        -16.154290      -16.154290  False           
exp_random_10_5_10_3           1.0                       50.0               61.0             661.0                       50.0               62.0        -15.164320      -15.164320  False           
exp_random_10_5_10_4           1.0                       50.0               61.0             661.0                       50.0               62.0        -20.482670      -20.482670  False           
exp_random_10_5_10_5           1.0                       50.0               61.0             661.0                       50.0               62.0        -24.605450      -24.605450  False           
exp_random_10_5_10_6           1.0                       50.0               61.0             661.0                       50.0               62.0        -20.766440      -20.766440  False           
exp_random_10_5_10_7           1.0                       50.0               61.0             661.0                       50.0               62.0        -20.558670      -20.558670  False           
exp_random_10_5_10_8           1.0                       50.0               61.0             661.0                       50.0               62.0        -19.115500      -19.115500  False           
exp_random_10_5_10_9           1.0                       50.0               61.0             661.0                       50.0               62.0        -13.922980      -13.922980  False           
exp_random_10_5_5_1            1.0                       50.0               61.0             406.0                       50.0               57.0         -7.541177       -7.541177  False           
exp_random_10_5_5_10           1.0                       50.0               61.0             406.0                       50.0               57.0         -6.883550       -6.883550  False           
exp_random_10_5_5_2            1.0                       50.0               61.0             406.0                       50.0               57.0        -13.401520      -13.401520  False           
exp_random_10_5_5_3            1.0                       50.0               61.0             406.0                       50.0               57.0        -14.663430      -14.663430  False           
exp_random_10_5_5_4            1.0                       50.0               61.0             406.0                       50.0               57.0        -19.398790      -19.398790  False           
exp_random_10_5_5_5            1.0                       50.0               61.0             406.0                       50.0               57.0        -19.698690      -19.698690  False           
exp_random_10_5_5_6            1.0                       50.0               61.0             406.0                       50.0               57.0        -15.688960      -15.688960  False           
exp_random_10_5_5_7            1.0                       50.0               61.0             406.0                       50.0               57.0         -8.626503       -8.626503  False           
exp_random_10_5_5_8            1.0                       50.0               61.0             406.0                       50.0               57.0         -8.733755       -8.733755  False           
exp_random_10_5_5_9            1.0                       50.0               61.0             406.0                       50.0               57.0        -14.342910      -14.342910  False           
exp_random_2_2_2_1             1.0                        4.0                7.0              23.0                        4.0                8.0         -7.166587       -7.166587  False           
exp_random_2_2_2_10            1.0                        4.0                7.0              23.0                        4.0                8.0         -2.154197       -2.154197  False           
exp_random_2_2_2_2             1.0                        4.0                7.0              23.0                        4.0                8.0         -6.537478       -6.537478  False           
exp_random_2_2_2_3             1.0                        4.0                7.0              23.0                        4.0                8.0        -13.520300      -13.520300  False           
exp_random_2_2_2_4             1.0                        4.0                7.0              23.0                        4.0                8.0        -15.019030      -15.019030  False           
exp_random_2_2_2_5             1.0                        4.0                7.0              23.0                        4.0                8.0        -14.160720      -14.160720  False           
exp_random_2_2_2_6             1.0                        4.0                7.0              23.0                        4.0                8.0         -9.857595       -9.857595  False           
exp_random_2_2_2_7             1.0                        4.0                7.0              23.0                        4.0                8.0         -5.297947       -5.297947  False           
exp_random_2_2_2_8             1.0                        4.0                7.0              23.0                        4.0                8.0         -4.911105       -4.911105  False           
exp_random_2_2_2_9             1.0                        4.0                7.0              23.0                        4.0                8.0         -7.047454       -7.047454  False           
exp_random_5_10_10_1           1.0                       50.0               56.0             661.0                       50.0               62.0        -17.633980      -17.633980  False           
exp_random_5_10_10_10          1.0                       50.0               56.0             661.0                       50.0               62.0        -14.424190      -14.424190  False           
exp_random_5_10_10_2           1.0                       50.0               56.0             661.0                       50.0               62.0        -24.746240      -24.746240  False           
exp_random_5_10_10_3           1.0                       50.0               56.0             661.0                       50.0               62.0        -19.335800      -19.335800  False           
exp_random_5_10_10_4           1.0                       50.0               56.0             661.0                       50.0               62.0        -25.379960      -25.379960  False           
exp_random_5_10_10_5           1.0                       50.0               56.0             661.0                       50.0               62.0        -32.091520      -32.091520  False           
exp_random_5_10_10_6           1.0                       50.0               56.0             661.0                       50.0               62.0        -24.953230      -24.953230  False           
exp_random_5_10_10_7           1.0                       50.0               56.0             661.0                       50.0               62.0        -25.342510      -25.342510  False           
exp_random_5_10_10_8           1.0                       50.0               56.0             661.0                       50.0               62.0        -25.978760      -25.978760  False           
exp_random_5_10_10_9           1.0                       50.0               56.0             661.0                       50.0               62.0        -18.577430      -18.577430  False           
exp_random_5_10_5_1            1.0                       50.0               56.0             406.0                       50.0               57.0        -15.114520      -15.114520  False           
exp_random_5_10_5_10           1.0                       50.0               56.0             406.0                       50.0               57.0        -10.188320      -10.188320  False           
exp_random_5_10_5_2            1.0                       50.0               56.0             406.0                       50.0               57.0        -17.214760      -17.214760  False           
exp_random_5_10_5_3            1.0                       50.0               56.0             406.0                       50.0               57.0        -20.558600      -20.558600  False           
exp_random_5_10_5_4            1.0                       50.0               56.0             406.0                       50.0               57.0        -25.215630      -25.215630  False           
exp_random_5_10_5_5            1.0                       50.0               56.0             406.0                       50.0               57.0        -26.192540      -26.192540  False           
exp_random_5_10_5_6            1.0                       50.0               56.0             406.0                       50.0               57.0        -18.173060      -18.173060  False           
exp_random_5_10_5_7            1.0                       50.0               56.0             406.0                       50.0               57.0        -15.847390      -15.847390  False           
exp_random_5_10_5_8            1.0                       50.0               56.0             406.0                       50.0               57.0        -11.595140      -11.595140  False           
exp_random_5_10_5_9            1.0                       50.0               56.0             406.0                       50.0               57.0        -17.663490      -17.663490  False           
exp_random_5_5_10_1            1.0                       25.0               31.0             336.0                       25.0               37.0        -12.507210      -12.507210  False           
exp_random_5_5_10_10           1.0                       25.0               31.0             336.0                       25.0               37.0        -11.371030      -11.371030  False           
exp_random_5_5_10_2            1.0                       25.0               31.0             336.0                       25.0               37.0        -15.632930      -15.632930  False           
exp_random_5_5_10_3            1.0                       25.0               31.0             336.0                       25.0               37.0        -25.343530      -25.343530  False           
exp_random_5_5_10_4            1.0                       25.0               31.0             336.0                       25.0               37.0        -19.080300      -19.080300  False           
exp_random_5_5_10_5            1.0                       25.0               31.0             336.0                       25.0               37.0        -19.455180      -19.455180  False           
exp_random_5_5_10_6            1.0                       25.0               31.0             336.0                       25.0               37.0        -19.668650      -19.668650  False           
exp_random_5_5_10_7            1.0                       25.0               31.0             336.0                       25.0               37.0        -17.651220      -17.651220  False           
