                                 Instance                                 |                                   baronBM@0                                   |                                  baronBMc@0                                   |                                   baronHR@0                                   |                                  baronHRc@0                                   |                                   cplexBM@0                                   |                                  cplexHRc@0                                   |                                  knitroBM@0                                   |                                  knitroBMc@0                                  |                                  knitroHR@0                                   |                                  knitroHRc@0                                  |                                  mosekBM.2@0                                  |                                   mosekBM@0                                   |                                 mosekBMc.2@0                                  |                                  mosekBMc@0                                   |                                 mosekHRc.2@0                                  |                                  mosekHRc@0                                   |                                 sbbknitroBM@0                                 |                                sbbknitroBMc@0                                 |                                 sbbknitroHR@0                                 |                                sbbknitroHRc@0                                 |                                 sbbmosekBM@0                                  |                                 sbbmosekBMc@0                                 |                                 sbbmosekHR@0                                  |                                 sbbmosekHRc@0                                 |
name                   #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]   Nodes I|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CLay0203                 109    18   151 min  4.157326e+04  4.157326e+04  |normal      4.157285e+04    0.00  4.157326e+04    0.00   0.00    0.49       9  |--                    --     inf            --     inf     --      --      -- !|normal      4.157249e+04    0.00  4.157290e+04   -0.00   0.00    2.34     287  |normal      4.157285e+04    0.00  4.157326e+04    0.00   0.00    2.46     109  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00    0.35      56  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.33     127  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.80     175  |--                    --     inf            --     inf     --      --      -- !|normal      4.157290e+04    0.00  4.157290e+04   -0.00   0.00    4.23     179  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    4.27     239  |normal      3.560000e+03   Large  3.560000e+03  -Large   0.00    0.61     145  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.78     261  |normal      3.560000e+03   Large  3.560000e+03  -Large   0.00    0.61     145  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.78     261  |normal      3.560000e+03   Large  3.560000e+03  -Large   0.00    0.30      69  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00    0.64     199  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00  101.21     354  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00  101.21     354  |normal      4.157290e+04    0.00  4.157290e+04   -0.00   0.00  101.28     242  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00   89.58     242  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    3.22     290  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    3.22     290  |--                    --     inf            --     inf     --      --      -- !|normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    5.15     290  |
CLay0204                 189    32   259 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.73       4  |--                    --     inf            --     inf     --      --      -- !|normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    2.29       7  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    2.26       1  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00    0.58     557  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.68     842  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00    7.19    1921  |--                    --     inf            --     inf     --      --      -- !|normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   18.73    1771  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00   13.88    1775  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    4.74    2589  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00   10.88    2357  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    4.74    2589  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00   10.88    2357  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    2.00    1395  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00    5.41    1579  |normal      6.545000e+03   -0.00  6.545001e+03    0.00   0.00  960.90    3357  |normal      6.545000e+03   -0.00  6.545001e+03    0.00   0.00  960.90    3357  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00  772.48    3827  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00  536.54    3243  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00   54.11    3159  |normal      6.545000e+03   -0.00  6.545000e+03    0.00   0.00   54.11    3159  |--                    --     inf            --     inf     --      --      -- !|normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00   71.99    3644  |
CLay0205                 291    50   396 min  8.092500e+03  8.092500e+03  |normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00    5.78      61  |--                    --     inf            --     inf     --      --      -- !|normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00   12.38     177  |normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00   18.03      45  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    3.96    3972  |normal      8.092500e+03    0.00  8.092501e+03    0.00   0.00    6.38    7552  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00  102.76   16540  |--                    --     inf            --     inf     --      --      -- !|normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00  246.84   15902  |normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00  187.79   13111  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00   27.96   15559  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  177.25   20115  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00   27.96   15559  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  177.25   20115  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00   32.51   16855  |normal      8.092500e+03    0.00  8.092500e+03   -0.00   0.00   67.20    9433  |timelim     6.807500e+03   18.88  8.092503e+03    0.00  18.88 3604.43   15058  |timelim     6.807500e+03   18.88  8.092503e+03    0.00  18.88 3604.43   15058  |timelim     6.707500e+03   20.65  8.218933e+03    1.56  22.53 3605.17   17058  |other       3.750000e+03  115.80           inf     inf    inf  470.17     999 !|other       6.502500e+03   24.45  8.185000e+03    1.14  25.87  497.52   19914 !|other       6.502500e+03   24.45  8.185000e+03    1.14  25.87  497.52   19914 !|--                    --     inf            --     inf     --      --      -- !|normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00 2111.31   71352  |
CLay0303                 127    21   178 min  2.666911e+04  2.666911e+04  |normal      2.666884e+04    0.00  2.666911e+04   -0.00   0.00    1.43      79  |--                    --     inf            --     inf     --      --      -- !|normal      2.666788e+04    0.00  2.666815e+04   -0.00   0.00   11.85    4297  |normal      2.666884e+04    0.00  2.666911e+04   -0.00   0.00    4.70     251  |normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    0.61     203  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00    0.41     186  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00    2.22     347  |--                    --     inf            --     inf     --      --      -- !|normal      2.666815e+04    0.00  2.666815e+04   -0.00   0.00    6.27     223  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00   15.32     257  |normal      3.560000e+03  649.13  3.560000e+03 -649.13   0.00    1.36     367  |normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    1.07     271  |normal      3.560000e+03  649.13  3.560000e+03 -649.13   0.00    1.36     367  |normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    1.07     271  |normal      3.560000e+03  649.13  3.560000e+03 -649.13   0.00    0.79     329  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00    1.76     303  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00  263.73     498  |normal      2.666911e+04    0.00  2.666911e+04   -0.00   0.00  263.73     498  |normal      2.666815e+04    0.00  2.666815e+04   -0.00   0.00  103.96     407  |normal      2.666903e+04    0.00  2.666906e+04   -0.00   0.00   91.97     392  |normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    6.77     364  |normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    6.77     364  |--                    --     inf            --     inf     --      --      -- !|normal      2.666910e+04    0.00  2.666910e+04   -0.00   0.00    9.41     456  |
CLay0304                 213    36   295 min  4.026239e+04  4.026239e+04  |normal      4.026198e+04    0.00  4.026239e+04   -0.00   0.00    5.98     155  |--                    --     inf            --     inf     --      --      -- !|normal      4.026161e+04    0.00  4.026201e+04   -0.00   0.00   68.00   13185  |normal      4.026198e+04    0.00  4.026239e+04   -0.00   0.00   48.16    2351  |normal      4.026235e+04    0.00  4.026235e+04   -0.00   0.00    1.71     842  |normal      4.026238e+04    0.00  4.026238e+04   -0.00   0.00    1.89    1046  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   15.33    1647  |--                    --     inf            --     inf     --      --      -- !|normal      4.026201e+04    0.00  4.026201e+04   -0.00   0.00   47.28    1457  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   65.81    1713  |normal      2.343761e+04   71.79  2.343761e+04  -71.79   0.00   15.19    3313  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   59.30    6865  |normal      2.343761e+04   71.79  2.343761e+04  -71.79   0.00   15.19    3313  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   59.30    6865  |normal      6.605000e+03  509.57  6.605000e+03 -509.57   0.00    5.42    1801  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00   49.08    6081  |timelim     2.756918e+04   46.04  6.588647e+04   63.64 138.99 3600.86    4764  |timelim     2.756918e+04   46.04  6.588647e+04   63.64 138.99 3600.86    4764  |timelim     1.055951e+04  281.29  5.801429e+04   44.09 449.40 3601.51    6324  |timelim     3.454726e+04   16.54  5.845642e+04   45.19  69.21 3602.24    8940  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00  207.31    7597  |normal      4.026239e+04    0.00  4.026239e+04   -0.00   0.00  207.31    7597  |--                    --     inf            --     inf     --      --      -- !|normal      4.026238e+04    0.00  4.026238e+04   -0.00   0.00  402.39   13372  |
CLay0305                 321    55   441 min  8.092500e+03  8.092500e+03  |normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00    7.84      41  |--                    --     inf            --     inf     --      --      -- !|normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00   24.74     231  |normal      8.092419e+03    0.00  8.092500e+03   -0.00   0.00   30.11     133  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    4.04    4629  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   13.78   10590  |normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00   99.68   14878  |--                    --     inf            --     inf     --      --      -- !|normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00  295.43   12227  |normal      8.092500e+03   -0.00  8.092500e+03   -0.00  -0.00  515.58   15955  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00  112.42   38589  |normal      8.092499e+03    0.00  8.092499e+03   -0.00   0.00  139.41   12601  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00  112.42   38589  |normal      8.092499e+03    0.00  8.092499e+03   -0.00   0.00  139.41   12601  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00   48.19   21269  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00   97.22   10093  |timelim     6.813792e+03   18.77  8.092500e+03    0.00  18.77 3605.28   18243  |timelim     6.813792e+03   18.77  8.092500e+03    0.00  18.77 3605.28   18243  |timelim     5.635000e+03   43.61  8.218933e+03    1.56  45.86 3603.09    9266  |timelim     5.800000e+03   39.53  8.092501e+03    0.00  39.53 3604.71   13604  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  988.57   34243  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  988.57   34243  |--                    --     inf            --     inf     --      --      -- !|normal      8.092475e+03    0.00  8.092500e+03    0.00   0.00 2090.03   69492  |
CLay0405                 321    55   441 min  8.092500e+03  8.092500e+03  |normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00    7.96      41  |--                    --     inf            --     inf     --      --      -- !|normal      8.092419e+03    0.00  8.092500e+03    0.00   0.00   24.88     231  |normal      8.092419e+03    0.00  8.092500e+03   -0.00   0.00   30.10     133  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00    4.07    4629  |normal      8.092500e+03    0.00  8.092500e+03    0.00   0.00   13.78   10590  |normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00   97.83   14878  |--                    --     inf            --     inf     --      --      -- !|normal      8.092500e+03    0.00  8.092500e+03   -0.00  -0.00  292.45   12227  |normal      8.092500e+03   -0.00  8.092500e+03   -0.00  -0.00  515.51   15955  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00  112.22   38589  |normal      8.092499e+03    0.00  8.092499e+03   -0.00   0.00  138.11   12601  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00  112.22   38589  |normal      8.092499e+03    0.00  8.092499e+03   -0.00   0.00  138.11   12601  |normal      8.085000e+03    0.09  8.085000e+03   -0.09   0.00   48.21   21269  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00   95.99   10093  |timelim     6.790002e+03   19.18  8.092500e+03    0.00  19.18 3605.32   17754  |timelim     6.790002e+03   19.18  8.092500e+03    0.00  19.18 3605.32   17754  |timelim     5.635000e+03   43.61  8.218933e+03    1.56  45.86 3603.10    9266  |timelim     5.777500e+03   40.07  8.092501e+03    0.00  40.07 3604.83   13321  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  971.93   34243  |normal      8.092500e+03   -0.00  8.092500e+03    0.00   0.00  971.93   34243  |--                    --     inf            --     inf     --      --      -- !|normal      8.092475e+03    0.00  8.092500e+03    0.00   0.00 2007.23   69492  |
LogReg_10_20_1_1         112    38   123 min  6.359345e+00  6.359345e+00  |normal      6.238262e+00    1.94  6.238325e+00   -1.94   0.00    0.35       1  |normal      6.228701e+00    2.10  6.228764e+00   -2.10   0.00  501.02   14453  |normal      6.238262e+00    1.94  6.238325e+00   -1.94   0.00    0.37       1  |timelim     6.238019e+00    1.94           inf     inf    inf 3600.65  280760  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.94  6.238325e+00   -1.94   0.00  403.76   44481  |normal      6.237781e+00    1.95  6.238325e+00   -1.94   0.01  739.24   46287  |normal      6.238324e+00    1.94  6.238325e+00   -1.94   0.00  414.17   44481  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.359233e+00    0.00  6.359233e+00   -0.00   0.00  115.67   22253  |normal      6.359398e+00   -0.00  6.359398e+00    0.00   0.00  239.28   23533  |normal      6.238322e+00    1.94  6.238322e+00   -1.94   0.00    0.58      67  |normal      6.238329e+00    1.94  6.238329e+00   -1.94   0.00    0.89      69  |normal      6.238324e+00    1.94  6.238324e+00   -1.94   0.00 2481.79   42343  |normal      6.238315e+00    1.94  6.238322e+00   -1.94   0.00 3439.99   45137  |normal      6.238324e+00    1.94  6.238324e+00   -1.94   0.00 2115.83   42343  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.94  6.238325e+00   -1.94   0.00  250.82    4679  |--                    --     inf            --     inf     --      --      -- !|normal      6.238327e+00    1.94  6.238337e+00   -1.94   0.00    0.72      17  |
