                         baronBM  baronBMc  baronHR  baronHRc   cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc   mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                 8.73     17.22     2.84   3600.00  3600.000  3600.000  2278.772   1995.420    39.568   3600.000  3600.000   3600.000   178.074      37.812     2.085       0.548     3600.000      3600.000       37.226        43.108    3600.000     3600.000      3600.0        8.934
RSyn0805M03                12.63     15.29     5.45   3600.00  3600.000  3600.000  3600.000   3600.000    17.906   3600.000  3600.000   3600.000   182.129     108.122     1.281       0.719     3600.000      3600.000       68.593        36.903    3600.000     3600.000      3600.0       15.278
RSyn0805M04                14.08     17.05     8.28   3600.00  3600.000  3600.000  3600.000   3600.000     5.339   3600.000  3600.000   3600.000   630.197      80.365     1.529       0.896     3600.000      3600.000       40.346        48.363    3600.000     3600.000      3600.0        9.031
RSyn0810M02                10.61     42.75    14.93   3600.00  3600.000  3600.000  3600.000   3600.000    31.833   3600.000  3600.000   3600.000  2075.972     263.011     1.919       0.568     3600.000      3600.000       86.669       169.756    3600.000     3600.000      3600.0       19.104
RSyn0810M03                21.75    139.25    40.54   3600.00  3600.000  3600.000  3600.000   3600.000    42.966   3600.000  3600.000   3600.000  3345.503    2129.227     8.196       1.668     3600.000      3600.000      733.705       610.614    3600.000     3600.000      3600.0       69.724
RSyn0810M04                20.18     71.00    56.86   3600.00  3600.000  3600.000  3600.000   3600.000    22.931   3600.000  3600.000   3600.000  3600.000     255.909    10.178       1.193     3600.000      3600.000      133.163       117.303    3600.000     3600.000      3600.0       30.718
RSyn0815M02                 8.64     94.94    16.33   3600.00  3600.000  3600.000  3600.000   3600.000    13.139   3600.000  3600.000   3600.000  3600.000      77.639     4.862       0.663     3600.000      3600.000       40.934        50.326    3600.000     3600.000      3600.0       10.570
RSyn0815M03                16.85     32.47    69.43   3600.00  3600.000  3600.000  3600.000   3600.000    46.478   3600.000  3600.000   3600.000  3600.000     254.465    12.413       1.387     3600.000      3600.000      541.902       112.435    3600.000     3600.000      3600.0       93.953
RSyn0815M04                30.96    724.02    49.77   3600.00  3600.000  3600.000  3600.000   3600.000    39.353   3600.000  3600.000   3600.000  3600.000    3600.000     2.519       1.241     3600.000      3600.000      159.149       474.401    3600.000     3600.000      3600.0       36.524
RSyn0820M02                14.27     24.56    27.95   3600.00  3600.000  3600.000  3600.000   3600.000    98.683   3600.000  3600.000   3600.000  3600.000     458.065     4.158       0.716     3600.000      3600.000      209.855        27.676    3600.000     3600.000      3600.0       39.058
RSyn0820M03                27.41     93.13    81.48   3600.00  3600.000  3600.000  3600.000   3600.000   249.237   3600.000  3600.000   3600.000  3600.000    3600.000    16.580       1.880     3600.000      3600.000     1951.075      1801.911    3600.000     3600.000      3600.0      256.485
RSyn0820M04                42.33    160.87   157.70   3600.00  3600.000  3600.000  3600.000   3600.000    72.745   3600.000  3600.000   3600.000  3600.000    3600.000    11.494       1.674     3600.000      3600.000      271.361       657.887    3600.000     3600.000      3600.0      314.890
RSyn0830M02                 8.60     37.42   117.24   3600.00  3600.000  3600.000  3600.000   3600.000    21.395   3600.000  3600.000   3600.000  3600.000      53.547     5.645       0.963     3600.000      3600.000      112.754      3600.000    3600.000     3600.000      3600.0       30.948
RSyn0830M03                27.19    187.37   249.05   3600.00  3600.000  3600.000  3600.000   3600.000    85.910   3600.000  3600.000   3600.000  3600.000    2610.505    10.382       2.219     3600.000      3600.000      381.814       170.881    3600.000     3600.000      3600.0       83.426
RSyn0830M04                67.81    466.32  3600.00   3600.00  3600.000  3600.000  3600.000   3600.000   259.272   3600.000  3600.000   3600.000  3600.000    3600.000    55.606       2.946     3600.000      3600.000     2865.939      1014.762    3600.000     3600.000      3600.0      813.997
RSyn0840M02                12.23    235.49   221.00   3600.00  3600.000  3600.000  3600.000   3600.000    12.518   3600.000  3600.000   3600.000  3600.000     259.709     4.020       0.977     3600.000      3600.000       51.506        37.492    3600.000     3600.000      3600.0       16.530
RSyn0840M03                22.25    210.43  2034.36   3600.00  3600.000  3600.000  3600.000   3600.000    72.916   3600.000  3600.000   3600.000  3600.000     762.704    10.260       1.646     3600.000      3600.000      367.844       204.615    3600.000     3600.000      3600.0       62.381
RSyn0840M04                63.98   3600.00  3600.00   3600.00  3600.000  3600.000  3600.000   3600.000   657.438   3600.000  3600.000   3600.000  3600.000    3600.000    73.354       3.948     3600.000      3600.000     3600.000      1697.854    3600.000     3600.000      3600.0     1363.111
Syn05M02                    0.10      0.13     0.12   1164.47  3600.000  3600.000     0.312      0.328     0.100      0.100  3600.000   3600.000     0.117       0.133     0.130       0.117        1.795         0.588        0.158         0.205    3600.000        0.181      3600.0        0.100
Syn05M03                    0.12      0.11     0.28   3047.17  3600.000  3600.000     0.454      0.466     0.100      0.100  3600.000   3600.000     0.155       0.192     0.103       0.140        5.609         1.695        0.379         0.641    3600.000        0.493      3600.0        0.144
Syn05M04                    0.10      0.14     0.15   3600.00  3600.000  3600.000     0.900      0.892     0.100      0.100  3600.000   3600.000     0.250       0.244     0.124       0.188        7.415         2.029        1.302         0.545    3600.000        0.827      3600.0        0.112
Syn10M02                    0.11      0.61     0.44   2103.28  3600.000  3600.000     6.390      5.547     0.145      0.100  3600.000   3600.000     0.655       0.350     0.150       0.220       81.079        53.362        0.804         0.705    3600.000       27.751      3600.0        0.151
Syn10M03                    0.17      1.02     0.71   3357.55  3600.000  3600.000    18.914     24.208     0.288      0.149  3600.000   3600.000     1.621       0.469     0.158       0.332      303.986       311.907        1.252         0.874    3600.000       78.700      3600.0        0.323
Syn10M04                    0.24      2.00     2.10   3600.00  3600.000  3600.000    74.955     96.055     0.265      0.222  3600.000   3600.000     4.120       1.155     0.263       0.346     1107.771      1712.736        1.928         2.273    3600.000      343.359      3600.0        0.462
Syn15M02                    0.16      0.85     0.26   3599.93  3600.000  3600.000    13.001     14.932     0.137      0.100  3600.000   3600.000     2.277       0.310     0.163       0.147       92.839        77.068        0.634         0.571    3600.000       22.990      3600.0        0.141
Syn15M03                    0.22      1.81     1.06   3599.87  3600.000  3600.000    46.285     58.139     0.211      0.249  3600.000   3600.000    10.292       1.275     0.244       0.216      347.568       681.969        1.452         1.269    3600.000      130.965      3600.0        0.244
Syn15M04                    0.36      3.46     1.90   3599.84  3600.000  3600.000   294.809    374.431     0.347      0.313  3600.000   3600.000    38.908       1.658     0.388       0.201     3600.000      3600.000        3.404         1.537    3600.000     3600.000      3600.0        0.342
Syn20M02                    0.27      1.15     1.42   3599.85  3600.000  3600.000   641.759   1434.959     0.348   3600.000  3600.000   3600.000    19.639       0.474     0.200       0.229     3600.000      3600.000        1.348         2.678    3600.000     3600.000      3600.0        0.318
Syn20M03                    0.49      5.67     7.26   3599.87  3600.000  3600.000  3600.000   3600.000     1.022   3600.000  3600.000   3600.000   361.290       3.319     0.442       0.309     3600.000      3600.000        3.017         3.666    3600.000     3600.000      3600.0        1.231
Syn20M04                    0.87     12.45    16.82   3599.84  3600.000  3600.000  3600.000   3600.000     1.748   3600.000  3600.000   3600.000  3600.000      20.363     0.677       0.437     3600.000      3600.000        7.111        11.697    3600.000     3600.000      3600.0        1.492
Syn30M02                    1.44     10.35     6.11   3599.83  3600.000  3600.000  3600.000   3600.000     0.418      0.684  3600.000   3600.000   567.266       1.496     0.384       0.357     3600.000      3600.000        1.641         2.271    3600.000     3600.000      3600.0        0.613
Syn30M03                    3.07     20.39    65.88   3599.85  3600.000  3600.000  3600.000   3600.000     1.560   3600.000  3600.000   3600.000  3600.000       6.027     0.825       0.685     3600.000      3600.000        6.483        13.027    3600.000     3600.000      3600.0        1.387
Syn30M04                    5.67     65.62    85.14   3599.85  3600.000  3600.000  3600.000   3600.000     3.564      4.435  3600.000   3600.000  3600.000      25.677     1.827       1.074     3600.000      3600.000       21.846        24.023    3600.000     3600.000      3600.0        3.648
Syn40M02                    1.63     40.68    32.11   3599.87  3600.000  3600.000  3600.000   3600.000     1.390   3600.000  3600.000   3600.000  3600.000       2.580     0.691       0.580     3600.000      3600.000        4.855        19.333    3600.000     3600.000      3600.0        1.621
Syn40M03                    5.30    244.77   276.42   3599.84  3600.000  3600.000  3600.000   3600.000     8.399     14.790  3600.000   3600.000  3600.000      54.767     1.787       1.165     3600.000      3600.000       58.139        73.421    3600.000     3600.000      3600.0        9.849
Syn40M04                   14.24    493.84  1108.16   3599.85  3600.000  3600.000  3600.000   3600.000    64.613   3600.000  3600.000   3600.000  3600.000    3600.000     6.178       1.909     3600.000      3600.000      140.106       172.440    3600.000     3600.000      3600.0       38.782
RSyn0805                    0.83      0.92     0.51   2182.86  3600.000  3600.000   104.746     94.492     1.618      1.445  3600.000   3600.000     5.167       0.608     0.304       0.124     3600.000      3600.000       12.614        12.537    3600.000     3600.000      3600.0        4.648
RSyn0810                    0.16      0.16     0.14   3400.57  3600.000  3600.000   299.268    439.737     1.759   3600.000  3600.000   3600.000    15.515       0.424     0.440       0.363     3600.000      3600.000       18.134        15.613    3600.000     3600.000      3600.0        5.195
RSyn0815                    0.78      1.31     6.08   3600.00  3600.000  3600.000   327.208    430.844     4.314   3600.000  3600.000   3600.000    56.099       0.921     0.463       0.232     3600.000      3600.000       30.850        24.623    3600.000     3600.000      3600.0        8.136
RSyn0820                    1.58      3.42    12.21   3514.55  3600.000  3600.000  3008.632   3217.966     2.442   3600.000  3600.000   3600.000   214.487       5.960     0.636       0.311     3600.000      3600.000       17.558        16.557    3600.000     3600.000      3600.0        7.586
RSyn0830                    1.58      4.90     9.57   3599.82  3600.000  3600.000  3600.000   3600.000     4.266   3600.000  3600.000   3600.000   289.166       2.011     0.850       0.378     3600.000      3600.000       26.371        13.341    3600.000     3600.000      3600.0        7.320
RSyn0840                    1.88      4.30     4.92   3599.83  3600.000  3600.000  3600.000   3600.000     1.409   3600.000  3600.000   3600.000  1332.515       0.873     0.665       0.327     3600.000      3600.000       12.861      3600.000    3600.000     3600.000      3600.0        2.971
Syn05                       0.10      0.10     0.10    819.94  3600.000  3600.000     0.100      0.100     0.100      0.100  3600.000   3600.000     0.100       0.100     0.100       0.100        0.204         0.210        0.100         0.119    3600.000        0.100      3600.0        0.100
Syn10                       0.10      0.10     0.10   1321.80  3600.000  3600.000     0.150      0.154     0.100      0.100  3600.000   3600.000     0.119       0.100     0.100       0.100        0.750         0.751        0.100         0.110    3600.000        0.253      3600.0        0.100
Syn15                       0.10      0.22     0.20   1900.43  3600.000  3600.000     0.319      0.348     0.100      4.849  3600.000   3600.000     0.317       0.191     0.106       0.100        1.759         1.876        0.107         0.125    3600.000        0.602      3600.0        0.100
Syn20                       0.10      0.34     0.58   2537.75  3600.000  3600.000     2.053      2.606     0.100      0.100  3600.000   3600.000     1.748       0.228     0.113       0.180       15.962        16.522        0.162         0.190    3600.000        6.754      3600.0        0.100
Syn30                       0.31      2.38     2.10   2735.21  3600.000  3600.000   155.735    206.970     0.130      0.137  3600.000   3600.000    10.569       0.265     0.168       0.178     3600.000      3600.000        0.471         0.444    3600.000     3600.000      3600.0        0.159
