                          baronBM  baronBMc  baronHR  baronHRc   cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc   mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                  59.0     157.0      5.0         -         -         -   87511.0    75301.0         -          -         -          -   17687.0     19339.0      93.0        19.0            -             -        295.0         281.0           -            -           -        283.0
RSyn0805M03                  51.0      57.0      5.0         -         -         -         -          -     103.0          -         -          -   12213.0     40451.0      23.0        19.0            -             -        442.0         202.0           -            -           -        364.0
RSyn0805M04                  37.0      41.0      5.0         -         -         -         -          -      41.0          -         -          -   27821.0     19417.0      11.0         7.0            -             -        181.0         146.0           -            -           -        152.0
RSyn0810M02                  57.0     419.0     81.0         -         -         -         -          -     175.0          -         -          -  177545.0    103759.0      87.0        17.0            -             -        658.0         612.0           -            -           -        555.0
RSyn0810M03                  55.0     698.0    121.0         -         -         -         -          -     489.0          -         -          -  176379.0    540975.0     299.0        89.0            -             -       2117.0        2116.0           -            -           -       1769.0
RSyn0810M04                  39.0     225.0    101.0         -         -         -         -          -         -          -         -          -  121298.0     51883.0     249.0         9.0            -             -        382.0         484.0           -            -           -        498.0
RSyn0815M02                  49.0    1418.0     55.0         -         -         -         -          -      67.0          -         -          -  304799.0     26931.0     217.0        29.0            -             -        279.0          97.0           -            -           -        278.0
RSyn0815M03                  53.0      93.0    141.0         -         -         -         -          -     469.0          -         -          -  199725.0     44941.0     359.0        99.0            -             -       2127.0         540.0           -            -           -       2047.0
RSyn0815M04                  49.0    1816.0     37.0         -         -         -         -          -     171.0          -         -          -         -    574357.0      23.0         5.0            -             -        615.0         444.0           -            -           -        480.0
RSyn0820M02                  67.0     229.0     77.0         -         -         -         -          -     299.0          -         -          -         -    150715.0     151.0        51.0            -             -       1008.0         128.0           -            -           -        936.0
RSyn0820M03                  83.0     317.0    117.0         -         -         -         -          -    2171.0          -         -          -         -    861705.0     455.0       119.0            -             -       5895.0        2266.0           -            -           -       4428.0
RSyn0820M04                  75.0     294.0    131.0         -         -         -         -          -     395.0          -         -          -         -           -     155.0        45.0            -             -        743.0             -           -            -           -       4186.0
RSyn0830M02                  33.0     177.0    311.0         -         -         -         -          -     213.0          -         -          -         -     11553.0     183.0        51.0            -             -        672.0             -           -            -           -        641.0
RSyn0830M03                  61.0     597.0    235.0         -         -         -         -    30226.0     445.0          -         -          -         -    262461.0     203.0       179.0            -             -       1226.0         660.0           -            -           -       1114.0
RSyn0830M04                 117.0    1001.0   1027.0         -         -         -         -          -    1265.0          -         -          -         -    292737.0     769.0       119.0            -             -       4654.0        1986.0           -            -           -       5556.0
RSyn0840M02                  45.0    1209.0    223.0         -         -         -         -          -     103.0          -         -          -         -     38513.0      95.0        37.0            -             -        288.0             -           -            -           -        301.0
RSyn0840M03                  43.0     738.0    454.0         -         -         -         -          -     323.0          -         -          -         -     65449.0     149.0        41.0            -             -        759.0             -           -            -           -        784.0
RSyn0840M04                 131.0    6134.0    413.0         -         -         -         -          -         -          -         -          -         -           -     823.0       153.0            -             -       7746.0        2577.0           -            -           -       7565.0
Syn05M02                      1.0       1.0      1.0         -         -         -      55.0       47.0       3.0        3.0         -          -       7.0         5.0       3.0         3.0         76.0          22.0          4.0           2.0           -         20.0           -          2.0
Syn05M03                      1.0       1.0      1.0         -         -         -      85.0       79.0       3.0        3.0         -          -       9.0         5.0       3.0         3.0        170.0          68.0         10.0           4.0           -         60.0           -          4.0
Syn05M04                      1.0       1.0      1.0         -         -         -     105.0       75.0       3.0        3.0         -          -      11.0         7.0       3.0         3.0        167.0          70.0         19.0           6.0           -         87.0           -          6.0
Syn10M02                      1.0      17.0      3.0         -         -         -    1217.0      819.0       9.0        5.0         -          -     155.0        97.0       3.0         3.0       3237.0        2074.0         14.0          11.0           -       2571.0           -          7.0
Syn10M03                      1.0      23.0      5.0         -         -         -    2353.0     2497.0       7.0        7.0         -          -     281.0       125.0       3.0         3.0       6833.0        6412.0         21.0          13.0           -       5917.0           -         11.0
Syn10M04                      1.0      35.0     15.0         -         -         -    5727.0     5573.0       7.0        7.0         -          -     607.0       541.0       3.0         3.0      20329.0       24664.0         24.0          27.0           -      21342.0           -         14.0
Syn15M02                      1.0      11.0      1.0         -         -         -    1563.0     1319.0       5.0        3.0         -          -     399.0        47.0       3.0         3.0       1766.0        1411.0          8.0             -           -       1733.0           -          3.0
Syn15M03                      1.0      17.0      3.0         -         -         -    3219.0     3225.0       5.0        5.0         -          -    1543.0       405.0       3.0         3.0       4484.0        7607.0         12.0             -           -       6347.0           -          5.0
Syn15M04                      1.0      23.0      5.0         -         -         -   13857.0    13659.0       6.0        3.0         -          -    4445.0       419.0       3.0         1.0            -             -         27.0           8.0           -            -           -          8.0
