                         baronBM  baronBMc  baronHR  baronHRc    cplexBM    cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc    mosekBM   mosekBM.2   mosekBMc  mosekBMc.2   mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                  1.0       1.0      1.0         -          -           -       1.0        1.0         -          -          -           -   393221.0    186296.0     2355.0      1388.0            -             -          1.0           1.0           -            -           -       5645.0
RSyn0805M03                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -   270883.0    380164.0      712.0      1703.0            -             -          1.0           1.0           -            -           -       8291.0
RSyn0805M04                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -   660526.0    265238.0      485.0      1835.0            -             -          1.0           1.0           -            -           -       3609.0
RSyn0810M02                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -  4009139.0    791350.0     1982.0      1309.0            -             -          1.0           1.0           -            -           -      10703.0
RSyn0810M03                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -  4197218.0   6746102.0     7321.0      3570.0            -             -          1.0           1.0           -            -           -      38286.0
RSyn0810M04                  1.0       1.0      1.0         -          -           -         -          -         -          -          -           -  3013860.0    829668.0     6407.0      2287.0            -             -          1.0           1.0           -            -           -      12008.0
RSyn0815M02                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -  7196277.0    203150.0     4778.0      1154.0            -             -          1.0           1.0           -            -           -       5532.0
RSyn0815M03                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -  4899095.0    595971.0     9117.0      3255.0            -             -          1.0           1.0           -            -           -      44654.0
RSyn0815M04                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -          -   7900653.0      780.0      2602.0            -             -          1.0           1.0           -            -           -      11528.0
RSyn0820M02                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -          -   1151179.0     3580.0      1336.0            -             -          1.0           1.0           -            -           -      18783.0
RSyn0820M03                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -          -   7599022.0    11753.0      4231.0            -             -          1.0           1.0           -            -           -      97018.0
RSyn0820M04                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -          -           -     5057.0      3218.0            -             -          1.0             -           -            -           -     102979.0
RSyn0830M02                  1.0       1.0      1.0         -          -           -         -          -       1.0          -          -           -          -    124020.0     4576.0      2363.0            -             -          1.0             -           -            -           -      13796.0
