Absolute performance profile for SolverTime
Filter: gap <= 10% and not failed
             baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.100000          29        13       22        10       10        11        21         11        27         18       10          5        20          17        23          23            1             1           12             1           5            9           0           15
1.900850         191       110       82        10       44        36        98         35        75         25       34         12        77         108       164         138           25            25           47            26          10           27           0           81
3.701701         205       116      105        12       66        51       136         44       102         30       48         16       102         124       214         186           32            30           68            39          14           36           0          104
5.502551         224       119      114        14       96        60       157         56       128         38       58         22       124         132       237         209           42            42           88            43          24           52           0          120
7.303402         237       121      130        18      115        68       167         66       146         42       66         23       142         138       257         217           51            47          102            47          31           64           0          133
9.104252         249       127      139        21      119        74       179         74       160         45       76         24       155         141       270         229           62            59          108            49          39           77           0          151
10.905103        260       130      148        22      124        82       185         76       170         49       80         26       165         146       281         235           65            62          113            51          42           83           0          162
12.705953        270       136      157        23      128        84       190         78       179         51       81         29       168         152       294         240           69            67          121            53          43           87           0          167
14.506803        281       140      168        27      132        88       196         82       186         54       87         30       176         153       299         247           75            74          128            56          44           90           0          172
16.307654        285       147      174        28      137        88       201         83       194         58       93         33       183         156       303         249           78            76          135            59          51           99           0          177
18.108504        291       152      184        34      142        88       204         83       203         60      100         38       191         161       308         252           83            80          139            61          52          100           0          179
19.909355        294       153      187        35      146        90       208         83       209         62      104         41       196         165       313         254           90            85          143            63          56          106           0          183
21.710205        300       154      192        36      148        92       214         83       217         63      105         42       198         167       315         260           93            89          144            63          61          111           0          188
23.511056        303       154      196        38      149        95       218         83       224         63      109         44       202         171       316         263           94            93          146            64          65          116           0          192
25.311906        310       158      202        38      149        99       220         85       226         65      110         45       204         173       321         265           95            93          148            69          67          119           0          193
27.112756        315       158      206        41      150        99       223         85       228         69      110         46       204         177       324         265           99            97          150            71          67          121           0          196
28.913607        321       159      209        44      150       100       226         86       231         72      112         48       206         182       325         268          102           102          151            75          67          122           0          196
30.714457        326       160      212        47      152       102       227         87       235         73      112         49       206         185       330         268          105           106          153            77          68          124           0          198
32.515308        327       161      217        49      153       107       229         87       238         74      117         49       212         188       330         271          107           107          157            78          69          125           0          203
34.316158        330       163      224        51      156       108       235         87       239         74      119         51       215         191       331         272          108           108          159            79          71          128           0          206
36.117009        331       163      224        51      157       112       240         88       242         76      119         54       215         195       332         272          112           111          162            79          71          128           0          207
37.917859        334       164      226        52      157       117       241         90       245         77      119         56       217         199       335         274          112           111          164            81          71          129           0          211
39.718709        335       167      226        53      158       118       244         91       249         77      119         58       218         201       337         277          113           112          165            81          71          130           0          215
41.519560        336       168      230        54      158       120       247         92       252         78      120         59       219         204       341         277          113           112          169            82          71          130           0          217
43.320410        338       170      233        56      159       121       252         93       255         78      121         59       220         204       341         278          113           113          171            86          72          133           0          219
45.121261        341       170      234        57      160       121       256         94       259         78      123         61       223         207       341         279          117           117          171            87          72          133           0          219
46.922111        344       170      237        58      161       123       260         94       262         79      125         61       225         208       343         280          117           117          172            87          72          133           0          219
48.722961        346       170      239        59      161       125       261         94       266         80      125         61       225         210       344         283          118           117          174            90          73          134           0          221
50.523812        346       170      241        59      161       126       262         94       270         80      126         63       227         213       345         283          119           119          175            92          73          134           0          224
52.324662        347       170      242        59      162       128       263         94       272         80      126         63       228         213       346         283          119           119          176            92          73          134           0          226
54.125513        347       170      243        61      163       129       265         94       273         81      127         63       231         214       346         284          120           121          177            92          75          137           0          228
55.926363        348       170      244        62      163       129       267         95       273         84      127         63       236         215       348         284          121           121          177            92          75          137           0          229
57.727214        349       170      245        64      163       129       267         95       273         86      127         63       240         215       348         285          121           122          179            92          76          139           0          229
59.528064        349       170      245        67      163       130       267         96       273         89      129         63       242         215       348         285          123           124          182            92          76          139           0          230
61.328914        349       170      246        67      164       130       268         96       276         90      129         63       242         216       348         285          126           127          183            93          78          141           0          230
63.129765        349       170      248        67      165       133       269         97       279         90      130         67       246         220       348         286          128           129          183            94          78          141           0          233
64.930615        350       170      248        67      167       134       269        100       280         93      130         67       251         221       349         288          129           129          185            94          79          145           0          235
66.731466        350       172      249        67      167       134       272        100       281         96      130         67       251         222       349         289          129           130          186            95          79          145           0          235
68.532316        351       172      250        67      167       134       272        100       283         97      130         67       251         222       351         289          129           130          187            98          79          146           0          235
70.333167        351       172      252        67      167       135       272        101       283         97      132         68       255         223       352         289          131           131          188            98          80          147           0          238
72.134017        352       173      252        68      167       135       272        101       283         99      132         69       256         224       352         289          131           131          188            98          81          148           0          241
73.934867        353       173      252        69      168       136       272        101       285        101      132         69       257         225       354         289          132           132          189            99          81          149           0          242
75.735718        353       173      252        71      169       136       273        102       285        102      132         70       260         226       355         289          133           133          191           100          81          149           0          243
77.536568        353       173      253        71      169       137       274        103       285        103      132         70       265         226       356         290          134           135          193           101          83          151           0          243
79.337419        353       173      254        72      169       137       274        103       285        104      132         70       265         227       356         291          134           136          194           101          83          153           0          244
81.138269        353       174      255        72      169       137       274        103       286        105      133         70       266         228       357         293          135           136          195           101          83          153           0          244
82.939120        354       174      256        72      169       139       275        104       286        106      135         70       268         228       357         293          136           137          199           101          83          153           0          246
84.739970        354       174      257        72      169       139       275        106       287        107      135         70       268         228       357         293          137           137          199           102          83          153           0          248
86.540820        354       174      258        72      169       140       275        106       288        108      136         70       269         228       357         293          138           138          199           102          84          154           0          249
88.341671        354       174      259        73      170       140       275        106       288        108      137         70       270         228       357         293          139           139          201           102          84          154           0          249
90.142521        354       174      261        73      170       141       275        106       289        108      138         71       271         230       357         294          139           139          202           103          86          157           0          253
91.943372        354       174      261        73      170       141       276        107       289        108      138         71       272         231       357         295          141           140          203           103          87          158           0          254
93.744222        354       175      261        73      171       142       276        108       289        108      138         71       272         231       357         297          142           140          204           104          87          159           0          256
95.545073        354       176      262        73      172       142       276        110       290        108      139         71       273         231       357         297          142           141          205           104          87          159           0          258
97.345923        354       176      262        73      172       143       276        112       291        109      140         71       275         232       359         297          145           142          205           105          88          161           0          259
99.146773        354       176      262        73      172       143       277        113       292        111      140         71       275         232       359         297          146           143          205           105          88          162           0          259
100.947624       354       176      262        73      172       144       278        115       292        111      140         71       275         233       359         297          146           143          205           105          88          162           0          259
102.748474       354       176      262        73      172       145       278        115       292        111      140         71       275         235       359         297          147           144          209           105          88          162           0          260
104.549325       357       176      263        73      172       145       280        116       292        112      141         72       276         237       360         297          148           145          210           105          88          162           0          261
106.350175       358       176      263        73      172       146       281        117       292        112      141         73       276         238       361         297          148           145          213           106          88          162           0          263
108.151026       358       176      263        73      172       146       282        117       293        113      143         75       278         243       362         297          148           145          213           106          88          162           0          265
109.951876       359       176      263        74      172       146       282        118       293        113      143         75       279         245       362         297          148           145          213           109          88          162           0          268
111.752726       359       176      264        74      172       146       282        118       294        113      146         75       283         246       362         298          148           145          213           109          88          162           0          269
113.553577       360       176      264        74      172       146       282        119       295        114      146         77       283         249       362         298          148           145          215           110          88          163           0          270
