Absolute performance profile for SolverTime
Filter: within 10% of known optimal value and not failed
             baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.100000          29        13       22        10       10        11        21         11        27         18       10          5        20          17        23          23            1             1           12             1           5            9           0           15
1.900850         191       101       82        10       44        36        98         35        75         25       34         12        77         108       164         138           25            25           47            25          10           27           0           81
3.701701         205       107      105        12       66        51       136         44       102         30       48         16       102         124       214         186           32            30           68            37          14           36           0          104
5.502551         224       110      114        14       96        60       157         56       128         38       58         22       124         130       237         209           42            42           88            41          24           52           0          120
7.303402         237       112      130        18      115        68       167         66       146         42       66         23       142         135       255         217           51            47          102            45          31           64           0          133
9.104252         249       118      139        21      119        74       179         74       160         45       76         24       155         136       268         229           62            59          108            47          39           77           0          151
10.905103        260       121      148        22      124        82       185         76       170         49       80         26       165         138       279         235           65            62          113            49          42           83           0          162
12.705953        270       127      157        23      128        84       190         78       179         51       81         29       168         143       291         239           69            67          121            51          43           87           0          167
14.506803        281       131      168        27      132        88       196         82       186         54       87         30       176         144       296         246           75            74          128            54          44           90           0          172
16.307654        285       138      174        28      137        88       201         83       194         58       93         33       183         147       300         248           78            76          135            57          51           99           0          177
18.108504        291       143      184        34      142        88       204         83       203         60      100         38       191         152       305         250           83            80          139            59          52          100           0          179
19.909355        294       144      187        35      146        90       208         83       209         62      104         41       196         156       310         251           90            85          143            61          56          106           0          183
21.710205        300       145      192        36      148        92       214         83       217         63      105         42       198         158       312         255           93            89          144            61          61          111           0          188
23.511056        303       145      196        38      149        95       218         83       224         63      109         44       202         162       312         258           94            93          146            62          65          116           0          192
25.311906        310       149      202        38      149        99       220         84       226         65      110         45       204         164       316         260           95            93          148            67          67          119           0          193
27.112756        315       149      206        41      150        99       223         84       228         69      110         46       204         168       319         260           99            97          150            69          67          121           0          196
28.913607        321       150      209        44      150       100       226         85       231         72      112         48       206         173       319         262          102           102          151            73          67          122           0          196
30.714457        326       151      212        47      152       102       227         86       235         73      112         49       206         176       323         262          105           106          153            75          68          124           0          198
32.515308        327       152      217        49      153       107       229         86       238         74      117         49       212         179       323         265          107           107          157            76          69          125           0          203
34.316158        330       154      224        51      156       108       235         86       239         74      119         51       215         182       323         266          108           108          159            77          71          128           0          206
36.117009        331       154      224        51      157       112       240         87       242         76      119         54       215         186       324         266          112           111          162            77          71          128           0          207
37.917859        334       155      226        52      157       117       241         88       245         77      119         56       216         190       326         268          112           111          164            79          71          129           0          211
39.718709        335       158      226        53      158       118       244         88       249         77      119         58       217         192       328         271          113           112          165            79          71          130           0          215
41.519560        336       159      230        54      158       120       247         89       252         78      120         59       218         195       332         271          113           112          169            80          71          130           0          217
43.320410        338       161      233        56      159       121       252         90       255         78      121         59       219         195       332         272          113           113          171            84          72          133           0          219
45.121261        341       161      234        57      160       121       256         90       259         78      123         61       222         198       332         272          117           117          171            85          72          133           0          219
46.922111        344       161      237        58      161       123       260         90       262         79      125         61       224         199       334         272          117           117          172            85          72          133           0          219
48.722961        346       161      239        59      161       125       261         90       266         80      125         61       224         201       335         274          118           117          174            88          73          134           0          221
50.523812        346       161      241        59      161       126       262         90       270         80      126         63       226         204       336         274          119           119          175            90          73          134           0          223
52.324662        347       161      242        59      162       128       263         90       272         80      126         63       227         204       337         274          119           119          176            90          73          134           0          225
54.125513        347       161      243        61      163       129       265         90       273         81      127         63       229         205       337         275          120           121          177            90          75          137           0          227
55.926363        348       161      244        62      163       129       267         91       273         84      127         63       234         206       339         275          121           121          177            90          75          137           0          227
57.727214        349       161      245        64      163       129       267         91       273         86      127         63       238         206       339         276          121           122          179            90          76          139           0          227
59.528064        349       161      245        67      163       130       267         92       273         89      129         63       240         206       339         276          123           124          182            90          76          139           0          228
