Absolute performance profile for NumberOfNodes
Filter: within 0.1% of known optimal value and not failed
               baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
1.000000           138        86      129        14        9        11         0          0        14          9        0          0        10          10        19          26            0             0           18            10           0            0           0            9
492.634817         307       166      297        91       45        59       102         46       213         94       38         25       103          90       259         234           90            89          183            96          40           89           0          196
984.269635         325       170      310       102       63        81       143         72       234        108       62         35       144         124       295         265          117           119          208           109          61          118           0          217
1475.904452        341       173      320       109       76        94       164         79       245        117       77         44       166         148       307         282          132           133          221           114          68          132           0          229
1967.539270        347       175      324       115       82       101       182         83       249        120       88         55       182         164       312         293          141           141          226           119          72          139           0          243
2459.174087        352       175      329       119       86       104       190         85       255        124       92         62       188         171       314         298          148           147          231           126          80          151           0          258
2950.808904        354       176      333       120       93       107       194         90       258        126       94         71       191         181       320         302          152           151          235           130          82          159           0          266
3442.443722        359       176      337       125       98       108       204         91       260        127      104         76       203         186       325         308          156           155          238           134          87          167           0          270
3934.078539        359       176      339       130      101       112       208         92       264        130      108         80       208         190       328         311          161           159          245           137          90          174           0          273
4425.713357        363       176      344       131      107       114       217         94       267        134      115         81       217         192       331         313          169           166          247           139          91          177           0          277
4917.348174        364       176      344       135      111       117       220         95       270        135      119         86       222         198       334         315          173           167          251           140          91          182           0          283
5408.982991        364       176      345       136      112       120       227         98       274        136      122         89       226         201       337         316          177           173          258           142          92          184           0          286
5900.617809        364       176      346       136      117       124       231        100       278        139      127         89       232         202       338         320          184           177          265           143          94          190           0          291
6392.252626        366       177      350       138      119       129       235        104       282        142      131         89       238         204       339         321          196           187          271           147          95          197           0          293
6883.887444        367       177      350       138      119       130       242        105       284        144      136         92       245         209       343         323          202           194          275           149          96          199           0          294
7375.522261        370       177      350       141      120       133       249        109       291        144      137         94       251         213       343         327          205           201          277           151          97          203           0          299
7867.157079        371       177      351       143      121       137       253        111       293        144      137         95       253         216       344         328          211           210          281           153         102          208           0          300
8358.791896        371       177      353       145      121       137       254        113       294        145      141         98       259         223       345         329          214           212          283           154         105          212           0          301
8850.426713        373       177      354       146      123       139       255        114       296        145      143         99       262         226       345         332          218           216          285           154         105          214           0          302
9342.061531        375       178      354       149      125       140       256        114       297        145      145        100       266         229       347         332          222           220          288           155         107          217           0          303
9833.696348        375       180      355       150      125       140       258        114       297        145      145        104       266         236       349         333          225           222          289           156         107          217           0          304
10325.331166       375       181      357       151      126       140       260        114       299        147      146        107       268         240       351         334          228           225          293           157         109          219           0          304
10816.965983       375       181      358       153      128       142       263        116       301        147      148        110       272         243       352         335          230           227          295           160         110          221           0          306
11308.600800       375       181      360       153      128       142       263        116       301        147      148        113       272         246       352         335          230           227          295           160         113          224           0          307
11800.235618       375       182      361       154      129       143       266        116       301        147      148        114       272         248       352         336          231           229          296           161         116          227           0          308
12291.870435       375       182      362       154      130       143       266        119       304        148      149        115       274         249       353         338          233           230          296           162         117          229           0          312
12783.505253       376       184      362       154      131       144       267        119       304        149      151        116       276         250       354         338          233           230          298           163         117          229           0          313
13275.140070       376       185      365       154      133       144       269        119       304        150      151        119       277         254       355         339          233           230          299           163         120          233           0          313
13766.774887       376       185      365       156      135       145       269        120       305        152      152        119       278         255       356         339          235           232          300           165         123          237           0          314
14258.409705       378       188      365       156      135       146       270        120       305        153      152        119       278         256       356         340          235           232          300           165         123          237           0          315
14750.044522       379       190      365       156      135       147       272        120       305        153      152        121       278         259       356         341          236           232          300           165         124          238           0          315
15241.679340       379       190      365       156      136       147       277        120       306        153      152        123       278         261       356         341          237           233          301           166         126          240           0          315
15733.314157       379       191      366       156      136       148       277        120       307        154      152        126       278         264       356         341          239           236          301           166         127          242           0          316
16224.948974       379       192      367       156      136       148       280        123       312        157      152        127       278         266       356         341          243           239          305           166         127          245           0          317
16716.583792       379       194      367       156      137       149       281        123       313        158      152        128       279         267       356         341          245           240          306           167         127          245           0          317
17208.218609       380       195      367       158      138       150       281        123       314        158      154        130       283         270       358         342          246           241          306           167         127          245           0          317
17699.853427       380       195      367       158      138       151       281        123       314        159      154        132       284         272       358         344          248           242          306           167         127          245           0          317
18191.488244       380       197      367       158      140       151       281        123       315        159      155        134       285         274       358         345          249           243          306           167         127          245           0          317
18683.123062       380       197      367       158      143       151       281        123       316        159      155        134       286         275       359         347          250           244          306           167         129          247           0          317
19174.757879       380       197      368       159      143       151       282        123       317        159      156        134       287         275       359         347          250           245          306           167         129          247           0          317
19666.392696       380       197      368       159      145       151       282        123       317        159      157        136       288         279       360         348          251           246          306           168         131          249           0          317
20158.027514       381       197      369       159      145       151       282        123       317        159      158        137       289         282       361         348          253           247          306           168         131          249           0          317
20649.662331       383       197      369       159      146       152       282        123       318        159      158        139       289         287       361         348          254           247          306           168         131          249           0          317
21141.297149       383       197      369       159      146       152       282        123       318        159      158        139       291         289       361         348          255           248          306           168         131          249           0          317
21632.931966       383       197      369       160      146       153       282        123       318        159      159        140       292         291       361         350          256           250          306           168         132          251           0          317
22124.566783       383       197      369       160      148       154       283        123       319        159      159        140       292         292       361         350          256           250          307           168         132          251           0          318
22616.201601       383       197      369       160      148       154       283        123       319        159      160        141       295         296       362         351          256           250          307           168         132          251           0          318
23107.836418       383       197      369       160      148       156       283        123       319        160      160        141       297         298       363         351          257           250          307           168         133          252           0          318
23599.471236       383       197      369       161      148       156       283        123       319        160      160        141       300         300       363         351          258           251          307           169         134          253           0          318
24091.106053       383       197      369       161      148       156       284        123       319        160      160        141       302         301       363         351          259           252          307           169         134          253           0          318
24582.740870       384       197      369       161      149       156       284        123       319        160      160        142       304         303       363         351          259           252          307           169         134          253           0          318
25074.375688       385       197      369       161      149       156       284        123       319        161      160        144       305         306       363         351          259           253          307           169         134          253           0          318
25566.010505       385       197      369       161      149       156       285        123       319        161      161        145       308         308       363         351          259           253          307           169         134          253           0          318
26057.645323       385       197      369       162      149       156       286        123       319        161      162        145       311         309       363         352          259           253          307           169         134          254           0          318
26549.280140       385       197      369       163      149       156       286        123       319        161      162        146       312         310       363         353          260           253          307           169         134          254           0          318
27040.914957       385       197      369       164      149       156       286        123       319        161      162        146       312         311       363         353          260           253          307           169         135          255           0          318
