Extended performance profile for SolverTime
Filter: no fail
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.052980            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.053337            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.053697            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054058            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054423            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054790            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055159            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055531            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055905            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.056282            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.056661            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.057043            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.057428            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.057815            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058205            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058597            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058992            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.059389            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.059790            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.060193            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.060599            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.061007            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
