Extended performance profile for SolverTime
Filter: gap <= 0.1% and not failed
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.052980            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.053327            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.053676            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054028            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054382            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.054738            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055097            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055458            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.055821            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.056187            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.056555            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.056925            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.057298            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.057673            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058051            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058432            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.058814            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.059200            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.059588            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.059978            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.060371            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.060766            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.061164            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.061565            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           1            0             0            0             0           0            0           0            0
0.061968            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.062374            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.062783            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.063194            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.063608            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.064025            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.064444            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.064866            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.065291            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.065719            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.066150            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.066583            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.067019            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.067458            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.067900            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.068345            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.068793            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.069243            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.069697            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.070154            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.070613            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.071076            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.071541            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.072010            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.072482            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.072957            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.073435            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.073916            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.074400            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.074887            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.075378            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.075872            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.076369            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.076869            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.077372            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.077879            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.078390            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.078903            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.079420            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.079940            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.080464            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.080991            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.081522            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.082056            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.082593            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.083134            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.083679            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.084227            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.084779            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.085334            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
0.085893            0         0        0         0        0         0         0          0         0          0        0          0         0           0         0           2            0             0            0             0           0            0           0            0
