Extended performance profile for SolverTime
Filter: within 10% of known optimal value and not failed
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.023775            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.023945            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024116            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024288            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024462            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024636            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024812            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.024990            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.025168            1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.025348            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.025529            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.025711            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.025895            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.026080            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.026266            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.026454            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.026643            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.026833            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.027025            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.027218            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.027413            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.027608            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.027806            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.028004            2         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.028204            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.028406            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.028609            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.028813            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.029019            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.029226            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.029435            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.029645            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.029857            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.030071            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.030285            3         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
