Extended performance profile for NumberOfNodes
Filter: within 0.1% of known optimal value and not failed
               baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.076923             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.077486             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.078053             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.078624             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.079200             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.079780             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.080364             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.080952             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.081544             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.082141             0         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.082742             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.083348             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.083958             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.084572             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.085191             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.085815             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.086443             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.087076             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.087713             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.088355             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.089002             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.089653             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.090309             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.090970             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.091636             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.092307             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.092982             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.093663             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.094348             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.095039             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.095735             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.096435             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.097141             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.097852             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.098568             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.099290             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.100016             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.100748             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.101486             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.102229             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.102977             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.103731             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.104490             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.105255             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.106025             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.106801             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.107583             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.108370             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
0.109163             1         0        0         1        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
