Extended performance profile for NumberOfIterations
Filter: within 0.1% of known optimal value and not failed
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
2.039408e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.072723e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.106581e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.140993e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.175967e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.211512e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.247638e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.284354e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.321670e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.359595e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.398140e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.437314e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.477129e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.517594e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.558719e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
2.600517e-07        1         0        0         0        0         0         0          0         0          0        0          0         0           0         0           0            0             0            0             0           0            0           0            0
