Relative performance profile for SolverTime
Filter: no fail
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
1.000000          139        49       58        36      101        39        62         11        60         46       39         31        49          43        77         124            1             1           12            21           5            9           0           15
1.005262          139        49       58        36      101        39        62         11        60         46       39         31        49          43        78         124            1             1           12            21           5            9           0           15
1.010552          140        49       58        36      101        39        62         11        60         46       39         31        49          43        78         124            1             1           12            21           6           10           0           16
1.015869          140        49       58        36      102        39        62         11        60         46       39         31        49          43        80         124            1             1           12            21           6           10           0           16
1.021215          141        50       59        37      102        40        62         11        61         47       39         33        49          45        81         125            1             1           12            21           6           10           0           16
1.026589          141        51       60        37      102        41        63         11        62         47       39         33        49          45        82         126            1             1           12            21           6           10           0           16
1.031991          143        51       60        37      102        41        64         11        62         47       39         33        49          45        83         126            1             1           12            21           7           11           0           17
1.037421          144        52       60        37      102        41        64         11        62         47       39         33        49          45        83         126            1             1           12            21           7           11           0           17
1.042880          146        53       62        37      102        41        64         11        62         47       39         33        49          45        83         126            1             1           14            21           7           12           0           17
1.048368          147        53       63        38      102        42        64         11        63         48       40         34        50          47        84         127            1             1           14            21           7           12           0           17
1.053884          147        53       63        38      103        42        64         11        63         49       40         34        50          47        84         127            1             1           14            21           7           12           0           17
1.059430          147        54       64        38      103        42        65         11        63         49       40         34        50          47        85         127            1             1           14            21           7           12           0           17
1.065005          148        54       65        38      103        42        65         11        63         49       40         34        50          47        87         128            1             1           15            21           7           12           0           17
1.070609          148        54       65        38      103        42        65         11        63         49       40         34        50          47        87         128            1             1           18            21           7           12           0           17
1.076242          150        54       67        38      104        43        66         11        63         49       40         34        50          47        88         128            1             1           18            21           7           12           0           17
1.081906          153        54       67        38      104        43        67         11        63         49       40         34        50          48        88         128            1             1           18            21           8           13           0           18
1.087599          153        54       67        38      104        43        69         11        63         49       40         34        50          48        88         128            1             1           18            21           8           13           0           18
1.093322          155        54       67        38      104        43        70         11        63         49       40         34        51          48        88         128            1             1           20            21           8           13           0           19
1.099075          157        55       67        38      104        43        71         11        64         49       40         34        51          48        89         128            1             1           20            21           8           13           0           19
1.104858          161        56       67        38      104        44        71         11        65         49       40         34        51          48        89         128            1             1           21            22           8           13           0           19
1.110672          161        56       67        38      104        44        71         11        65         49       40         34        51          48        89         128            1             1           21            22           8           13           0           19
1.116516          161        56       67        38      104        44        72         11        65         49       40         34        51          48        90         128            1             1           21            22           8           13           0           19
1.122392          162        56       67        38      104        44        72         11        65         49       40         34        51          48        91         128            1             1           21            22           8           13           0           21
1.128298          162        57       67        38      104        44        73         11        65         49       40         34        51          48        91         128            1             1           21            22           8           13           0           21
1.134235          163        57       67        38      104        44        73         11        65         49       40         35        51          49        94         128            1             1           21            22           8           13           0           21
1.140203          163        57       67        38      104        44        73         11        65         49       40         35        51          49        94         128            1             1           21            22           8           14           0           21
1.146203          165        59       67        38      105        44        75         11        65         49       40         35        51          49        94         129            1             1           21            22           8           14           0           21
1.152234          167        60       67        38      105        45        75         11        65         49       40         35        51          49        95         129            2             2           21            22           8           14           0           21
1.158298          168        61       67        38      105        45        75         11        65         49       40         35        51          49        96         129            2             2           21            22           8           14           0           22
1.164393          168        61       67        38      106        45        76         11        66         49       41         35        52          49        96         129            2             2           21            23           8           14           0           22
