Relative performance profile for SolverTime
Filter: gap <= 0.1% and not failed
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
1.000000          113        49       32        10      101        14        52         11        34         20       13          5        23          17        51          98            1             1           12             1           5            9           0           15
1.005073          113        49       32        10      101        14        52         11        34         20       13          5        23          17        52          98            1             1           12             1           5            9           0           15
1.010171          114        49       32        10      101        14        52         11        34         20       13          5        23          17        52          98            1             1           12             1           6           10           0           16
1.015296          114        49       32        10      102        14        52         11        34         20       13          5        23          17        54          98            1             1           12             1           6           10           0           16
1.020446          114        50       32        10      102        14        52         11        34         20       13          6        23          18        54          98            1             1           12             1           6           10           0           16
1.025623          114        51       32        10      102        15        53         11        35         20       13          6        23          18        55          99            1             1           12             1           6           10           0           16
1.030825          116        51       33        10      102        15        54         11        35         20       13          6        23          18        56          99            1             1           12             1           7           11           0           17
1.036055          116        51       33        10      102        15        54         11        35         20       13          6        23          18        56          99            1             1           12             1           7           11           0           17
1.041310          117        53       34        10      102        15        54         11        35         20       13          6        23          18        56          99            1             1           14             1           7           12           0           17
1.046593          120        53       35        10      102        15        54         11        35         20       13          6        23          19        56          99            1             1           14             1           7           12           0           17
1.051902          120        53       35        10      103        15        54         11        35         20       13          6        23          19        56          99            1             1           14             1           7           12           0           17
1.057238          120        54       36        10      103        15        54         11        35         21       13          6        23          19        57          99            1             1           14             1           7           12           0           17
1.062601          120        54       37        10      103        15        55         11        35         21       13          6        23          19        59          99            1             1           15             1           7           12           0           17
1.067991          121        54       37        10      103        15        55         11        35         21       13          6        23          19        59         100            1             1           15             1           7           12           0           17
1.073409          122        54       38        10      104        16        56         11        35         21       13          6        23          19        59         100            1             1           18             1           7           12           0           17
1.078854          124        54       39        10      104        16        56         11        35         21       13          6        23          19        60         100            1             1           18             1           7           12           0           17
1.084327          126        54       39        10      104        16        59         11        35         21       13          6        23          20        60         100            1             1           18             1           8           13           0           18
1.089828          126        54       39        10      104        16        59         11        35         21       13          6        23          20        60         100            1             1           18             1           8           13           0           18
1.095356          128        54       39        10      104        16        60         11        35         21       13          6        24          20        61         100            1             1           20             1           8           13           0           19
1.100913          131        56       39        10      104        17        61         11        37         21       13          6        24          20        61         100            1             1           21             2           8           13           0           19
1.106497          134        56       39        10      104        17        61         11        37         21       13          6        24          20        61         100            1             1           21             2           8           13           0           19
1.112110          134        56       39        10      104        17        62         11        37         21       13          6        24          20        62         100            1             1           21             2           8           13           0           19
1.117752          134        56       39        10      104        17        62         11        37         21       13          6        24          20        63         100            1             1           21             2           8           13           0           19
1.123422          135        56       39        10      104        17        62         11        37         21       13          6        24          20        63         100            1             1           21             2           8           13           0           21
1.129121          135        57       39        10      104        17        63         11        37         21       13          6        24          20        63         100            1             1           21             2           8           13           0           21
1.134849          136        57       39        10      104        17        63         11        37         21       13          7        24          21        66         100            1             1           21             2           8           13           0           21
1.140606          136        57       39        10      104        17        63         11        37         21       13          7        24          21        66         100            1             1           21             2           8           14           0           21
1.146392          138        59       39        10      105        17        65         11        37         21       13          7        24          21        66         101            1             1           21             2           8           14           0           21
1.152207          140        60       39        10      105        18        65         11        37         21       13          7        24          21        67         101            2             2           21             2           8           14           0           21
1.158052          141        61       39        10      105        18        65         11        37         21       13          7        24          21        68         101            2             2           21             2           8           14           0           22
1.163927          141        61       39        10      106        18        66         11        38         21       14          7        25          21        68         101            2             2           21             3           8           14           0           22
1.169831          142        62       39        10      106        18        66         11        38         21       14          7        25          21        68         101            2             2           21             3           8           14           0           22
1.175765          143        62       39        10      106        18        66         11        39         21       14          7        26          21        69         102            2             2           21             4           9           15           0           22
1.181730          143        62       39        10      106        19        66         11        39         22       14          7        26          21        71         102            2             2           21             4           9           15           0           22
1.187724          145        62       39        10      106        19        66         11        39         22       14          7        26          22        73         102            2             2           21             4           9           15           0           22
1.193749          146        62       39        10      106        19        66         11        40         22       14          7        27          22        74         102            2             2           21             7           9           16           0           22
1.199805          146        62       39        10      106        19        66         11        40         22       14          7        27          22        74         102            2             2           21             7           9           16           0           22
1.205891          147        64       40        10      106        19        66         11        40         22       14          7        27          22        75         102            2             2           21             8           9           16           0           22
1.212009          147        65       40        10      106        19        66         11        40         22       14          7        27          22        77         102            2             2           21            10           9           16           0           22
1.218157          147        65       40        10      106        19        66         11        40         22       14          7        27          22        77         102            2             2           21            10           9           16           0           22
1.224336          147        66       40        10      106        19        67         11        40         22       14          7        27          23        77         102            3             3           21            10           9           16           0           23
1.230547          147        66       40        10      106        19        68         11        40         22       14          7        27          23        77         102            3             3           21            10           9           16           0           23
1.236790          148        66       40        10      106        19        68         11        40         22       14          7        27          23        79         102            3             3           21            10           9           16           0           23
1.243064          148        66       40        10      106        19        68         11        40         22       14          8        27          24        80         102            3             3           21            10          10           17           0           23
1.249369          148        66       40        10      106        20        69         11        40         22       14          8        27          24        80         102            3             3           21            10          10           17           0           23
1.255707          150        66       40        10      106        20        70         11        41         22       14          8        27          24        81         102            3             3           21            11          10           17           0           23
1.262077          152        66       40        10      106        20        70         11        41         22       15          8        28          24        81         102            3             4           21            11          10           18           0           23
1.268479          153        67       40        10      107        20        71         11        41         22       15          8        28          24        83         102            3             4           21            11          10           18           0           23
1.274914          154        67       40        10      107        20        71         11        41         22       15          8        28          24        84         102            3             4           21            11          10           18           0           23
1.281382          155        68       40        10      107        20        71         11        41         22       15          8        28          24        85         102            3             4           21            12          10           19           0           24
1.287882          155        68       40        10      107        21        71         11        42         22       15          8        28          24        86         103            3             4           21            12          10           19           0           24
1.294415          156        68       40        10      107        21        71         11        42         22       15          8        28          24        88         103            3             4           21            12          10           19           0           24
1.300981          156        69       40        10      107        21        71         11        42         22       15          8        28          25        89         103            3             4           21            12          10           19           0           24
1.307581          156        69       40        10      108        21        71         11        42         22       15          8        28          25        89         103            3             4           21            12          10           19           0           24
1.314214          157        69       40        10      108        21        71         11        42         22       15          8        28          25        89         103            3             4           21            12          10           19           0           24
1.320881          157        69       40        10      108        21        71         11        42         22       15          8        28          25        90         103            3             4           21            12          10           19           0           24
1.327581          157        70       40        10      108        21        71         11        42         22       15          8        28          26        92         103            3             4           21            12          10           19           0           24
1.334316          158        70       41        10      108        21        71         11        42         22       15          8        28          27        92         103            3             4           21            12          10           19           0           24
1.341084          158        70       41        10      108        21        72         11        42         22       15          8        28          27        92         103            4             4           21            12          10           19           0           24
1.347888          158        71       41        10      108        21        73         11        42         22       16          8        29          27        92         103            4             4           21            12          10           19           0           25
1.354725          159        71       41        10      108        22        73         11        42         22       16          8        29          28        92         103            4             4           21            13          10           19           0           25
1.361597          159        71       41        10      108        22        73         11        42         22       16          8        29          30        95         103            4             4           21            14          10           19           0           25
1.368504          160        71       41        10      108        22        73         11        42         22       16          8        29          30        95         103            4             4           21            14          10           19           0           25
1.375447          160        73       41        10      108        22        73         11        44         22       16          8        29          30        95         104            4             4           22            14          10           20           0           25
1.382424          161        73       41        10      108        22        73         11        44         22       16          9        29          31        96         104            4             4           22            14          10           20           0           27
1.389437          161        73       41        10      108        22        73         11        44         22       16          9        29          31        98         104            4             4           22            14          10           20           0           27
1.396485          161        73       41        10      108        22        74         11        44         22       16          9        29          31        98         104            4             4           22            14          10           20           0           27
1.403569          162        74       41        10      108        22        74         11        44         22       16          9        29          31        99         105            4             4           22            14          10           20           0           28
1.410689          163        74       41        10      109        22        74         11        44         22       16          9        29          32        99         105            4             4           22            14          10           20           0           29
1.417845          163        74       42        10      109        22        75         11        45         22       16          9        29          32        99         105            4             4           22            14          10           20           0           29
1.425038          163        75       42        10      109        22        75         11        45         22       16          9        29          32        99         105            4             5           22            14          10           20           0           29
1.432267          163        75       42        10      110        22        75         11        45         22       16          9        29          32       100         105            4             5           22            14          10           20           0           29
1.439532          164        75       43        10      110        22        76         11        45         22       16          9        29          33       100         105            4             5           22            14          10           20           0           29
1.446835          164        75       43        10      110        22        76         11        46         22       16          9        29          33       101         105            4             5           22            14          10           20           0           30
1.454174          164        75       43        10      110        22        77         11        47         22       16          9        29          33       101         105            4             5           22            14          10           20           0           30
1.461551          165        76       43        10      110        23        77         11        47         22       16          9        29          33       102         105            4             5           22            14          10           20           0           30
1.468965          168        76       43        10      112        23        77         11        47         22       16          9        29          33       104         105            4             5           22            14          10           20           0           30
1.476417          168        76       43        10      114        23        77         11        47         22       16          9        29          33       105         106            4             5           22            14          10           20           0           30
1.483906          168        76       43        10      114        23        77         11        47         22       16          9        29          33       105         106            4             5           22            14          10           20           0           30
1.491434          168        76       43        10      114        23        77         11        47         22       16         10        29          34       105         106            4             5           22            14          10           20           0           30
1.499000          168        76       43        10      114        23        77         11        47         22       16         10        29          35       105         106            4             5           22            14          10           20           0           30
1.506604          169        77       45        10      114        23        79         11        47         22       16         10        29          36       107         106            4             5           22            14          10           20           0           30
1.514247          169        77       45        10      114        23        79         11        47         22       16         10        29          36       107         106            4             5           22            14          10           20           0           31
