Relative performance profile for SolverTime
Filter: within 1% of known optimal value and not failed
              baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
1.000000          113        49       32        10      101        14        52         11        34         20       13          5        23          17        51          98            1             1           12             1           5            9           0           15
1.005073          113        49       32        10      101        14        52         11        34         20       13          5        23          17        52          98            1             1           12             1           5            9           0           15
1.010171          114        49       32        10      101        14        52         11        34         20       13          5        23          17        52          98            1             1           12             1           6           10           0           16
1.015296          114        49       32        10      102        14        52         11        34         20       13          5        23          17        54          98            1             1           12             1           6           10           0           16
1.020446          114        50       32        10      102        15        52         11        34         20       13          7        23          19        55          99            1             1           12             1           6           10           0           16
1.025623          114        50       32        10      102        16        53         11        35         20       13          7        23          19        56         100            1             1           12             1           6           10           0           16
1.030825          116        50       33        10      102        16        54         11        35         20       13          7        23          19        57         100            1             1           12             1           7           11           0           17
1.036055          116        50       33        10      102        16        54         11        35         20       13          7        23          19        57         100            1             1           12             1           7           11           0           17
1.041310          117        52       34        10      102        16        54         11        35         20       13          7        23          19        57         100            1             1           14             1           7           12           0           17
1.046593          120        52       35        10      102        16        54         11        35         20       13          7        23          20        57         100            1             1           14             1           7           12           0           17
1.051902          120        52       35        10      103        16        54         11        35         20       14          7        24          20        58         101            1             1           14             1           7           12           0           17
1.057238          120        53       36        10      103        16        54         11        35         21       14          7        24          20        59         101            1             1           14             1           7           12           0           17
1.062601          120        53       37        10      103        16        55         11        35         21       14          7        24          20        61         101            1             1           15             1           7           12           0           17
1.067991          121        53       37        10      103        16        55         11        35         21       14          7        24          20        61         102            1             1           15             1           7           12           0           17
1.073409          122        53       38        10      104        17        56         11        35         21       14          7        24          20        61         102            1             1           18             1           7           12           0           17
1.078854          124        53       39        10      104        17        56         11        35         21       14          7        24          20        62         102            1             1           18             1           7           12           0           17
1.084327          126        53       39        10      104        17        59         11        35         21       14          7        24          21        62         102            1             1           18             1           8           13           0           18
1.089828          126        53       39        10      104        17        59         11        35         21       14          7        24          21        62         102            1             1           18             1           8           13           0           18
1.095356          128        53       39        10      104        17        60         11        35         21       14          7        25          21        63         102            1             1           20             1           8           13           0           19
1.100913          131        55       39        10      104        18        61         11        37         21       14          7        25          21        63         102            1             1           21             2           8           13           0           19
1.106497          134        55       39        10      104        18        61         11        37         21       14          7        25          21        63         102            1             1           21             2           8           13           0           19
1.112110          134        55       39        10      104        18        62         11        37         21       14          7        25          21        64         102            1             1           21             2           8           13           0           19
1.117752          134        55       39        10      104        18        62         11        37         21       14          7        25          21        65         102            1             1           21             2           8           13           0           19
1.123422          135        55       39        10      104        18        62         11        37         21       14          7        25          21        65         102            1             1           21             2           8           13           0           21
1.129121          135        56       39        10      104        18        63         11        37         21       14          7        25          21        65         102            1             1           21             2           8           13           0           21
1.134849          136        56       39        10      104        18        63         11        37         21       14          8        25          22        68         102            1             1           21             2           8           13           0           21
1.140606          136        56       39        10      104        18        63         11        37         21       14          8        25          22        68         102            1             1           21             2           8           14           0           21
1.146392          138        58       39        10      105        18        65         11        37         21       14          8        25          22        68         103            1             1           21             2           8           14           0           21
1.152207          140        59       39        10      105        19        65         11        37         21       14          8        25          22        69         103            2             2           21             2           8           14           0           21
1.158052          141        60       39        10      105        19        65         11        37         21       14          8        25          22        70         103            2             2           21             2           8           14           0           22
1.163927          141        60       39        10      106        19        66         11        38         21       15          8        26          22        70         103            2             2           21             3           8           14           0           22
1.169831          142        61       39        10      106        19        66         11        38         21       15          8        26          22        70         103            2             2           21             3           8           14           0           22
1.175765          143        61       39        10      106        19        66         11        39         21       15          8        27          22        71         104            2             2           21             4           9           15           0           22
1.181730          143        61       39        10      106        20        66         11        39         22       15          8        27          22        73         104            2             2           21             4           9           15           0           22
1.187724          145        61       39        10      106        20        66         11        39         22       15          8        27          23        75         104            2             2           21             4           9           15           0           22
1.193749          146        61       39        10      106        20        66         11        40         22       15          8        28          23        76         104            2             2           21             7           9           16           0           22
1.199805          146        61       39        10      106        20        66         11        40         22       15          8        28          23        76         104            2             2           21             7           9           16           0           22
1.205891          147        63       40        10      106        20        66         11        40         22       15          8        28          23        77         104            2             2           21             8           9           16           0           22
1.212009          147        64       40        10      106        20        66         11        40         22       15          8        28          23        79         104            2             2           21            10           9           16           0           22
1.218157          147        64       40        10      106        20        66         11        40         22       15          8        28          23        79         104            2             2           21            10           9           16           0           22
1.224336          147        65       40        10      106        20        67         11        40         22       15          8        28          24        79         104            3             3           21            10           9           16           0           23
1.230547          147        65       40        10      106        20        68         11        40         22       15          8        28          24        79         104            3             3           21            10           9           16           0           23
1.236790          148        65       40        10      106        20        68         11        40         22       15          8        28          24        81         104            3             3           21            10           9           16           0           23
1.243064          148        65       40        10      106        20        68         11        40         22       15          9        28          25        82         104            3             3           21            10          10           17           0           23
1.249369          148        65       40        10      106        21        69         11        40         22       15          9        28          25        82         104            3             3           21            10          10           17           0           23
1.255707          150        65       40        10      106        21        70         11        41         22       15          9        28          25        83         104            3             3           21            11          10           17           0           23
1.262077          152        65       40        10      106        21        70         11        41         22       16          9        29          25        83         104            3             4           21            11          10           18           0           23
1.268479          153        66       40        10      107        21        71         11        41         22       16          9        29          25        85         104            3             4           21            11          10           18           0           23
1.274914          154        66       40        10      107        21        71         11        41         22       16          9        29          25        86         104            3             4           21            11          10           18           0           23
1.281382          155        67       40        10      107        21        71         11        41         22       16          9        29          25        87         104            3             4           21            12          10           19           0           24
1.287882          155        67       40        10      107        22        71         11        42         22       16          9        29          25        88         105            3             4           21            12          10           19           0           24
1.294415          156        67       40        10      107        22        71         11        42         22       16          9        29          25        90         105            3             4           21            12          10           19           0           24
1.300981          156        68       40        10      107        22        71         11        42         22       16          9        29          26        91         105            3             4           21            12          10           19           0           24
1.307581          156        68       40        10      108        22        71         11        42         22       16          9        29          26        91         105            3             4           21            12          10           19           0           24
1.314214          157        68       40        10      108        22        71         11        42         22       16          9        29          26        91         105            3             4           21            12          10           19           0           24
1.320881          157        68       40        10      108        22        71         11        42         22       16          9        29          26        92         105            3             4           21            12          10           19           0           24
1.327581          157        68       40        10      108        22        71         11        42         22       16          9        29          27        94         105            3             4           21            12          10           19           0           24
1.334316          158        68       41        10      108        22        71         11        42         22       16          9        29          28        94         105            3             4           21            12          10           19           0           24
1.341084          158        68       41        10      108        22        72         11        42         22       16          9        29          28        94         105            4             4           21            12          10           19           0           24
1.347888          158        69       41        10      108        22        73         11        42         22       17          9        30          28        94         105            4             4           21            12          10           19           0           25
1.354725          159        69       41        10      108        23        73         11        42         22       17          9        30          29        94         105            4             4           21            13          10           19           0           25
1.361597          159        69       41        10      108        23        73         11        42         22       17          9        30          31        97         105            4             4           21            14          10           19           0           25
1.368504          160        69       41        10      108        23        73         11        42         22       18          9        31          31        98         106            4             4           21            14          10           19           0           25
1.375447          160        71       41        10      108        23        73         11        44         22       18          9        31          31        98         107            4             4           22            14          10           20           0           25
1.382424          161        71       41        10      108        23        73         11        44         22       18         10        31          32        99         107            4             4           22            14          10           20           0           27
1.389437          161        71       41        10      108        23        73         11        44         22       18         10        31          32       101         107            4             4           22            14          10           20           0           27
1.396485          161        71       41        10      108        23        74         11        44         22       18         10        31          32       101         107            4             4           22            14          10           20           0           27
1.403569          162        72       41        10      108        23        74         11        44         22       18         10        31          32       102         108            4             4           22            14          10           20           0           28
1.410689          163        72       41        10      109        23        74         11        44         22       18         10        31          33       102         108            4             4           22            14          10           20           0           29
1.417845          163        72       42        10      109        23        75         11        45         22       18         10        31          33       102         108            4             4           22            14          10           20           0           29
1.425038          163        73       42        10      109        23        75         11        45         22       18         10        31          33       102         108            4             5           22            14          10           20           0           29
1.432267          163        73       42        10      110        23        75         11        45         22       18         10        31          33       103         108            4             5           22            14          10           20           0           29
1.439532          164        73       43        10      110        23        76         11        45         22       18         10        31          34       103         108            4             5           22            14          10           20           0           29
1.446835          164        73       43        10      110        23        76         11        46         22       18         10        31          34       104         108            4             5           22            14          10           20           0           30
1.454174          164        73       43        10      110        23        77         11        47         22       18         10        31          34       104         108            4             5           22            14          10           20           0           30
1.461551          165        74       43        10      110        24        77         11        47         22       18         10        31          34       105         108            4             5           22            14          10           20           0           30
1.468965          168        74       43        10      112        24        77         11        47         22       18         10        31          34       107         108            4             5           22            14          10           20           0           30
1.476417          168        74       43        10      114        24        77         11        47         22       18         10        31          34       108         109            4             5           22            14          10           20           0           30
1.483906          168        74       43        10      114        24        77         11        47         22       18         10        31          34       108         109            4             5           22            14          10           20           0           30
1.491434          168        74       43        10      114        24        77         11        47         22       18         11        31          35       108         109            4             5           22            14          10           20           0           30
1.499000          168        74       43        10      114        24        77         11        47         22       18         11        31          36       108         109            4             5           22            14          10           20           0           30
1.506604          169        75       45        10      114        24        79         11        47         22       18         11        31          37       110         109            4             5           22            14          10           20           0           30
1.514247          169        75       45        10      114        24        79         11        47         22       18         11        31          37       110         109            4             5           22            14          10           20           0           31
