                         baronBM  baronBMc       baronHR      baronHRc       cplexBM      cplexHRc      knitroBM     knitroBMc      knitroHR     knitroHRc  mosekBM  mosekBM.2      mosekBMc    mosekBMc.2      mosekHRc    mosekHRc.2   sbbknitroBM  sbbknitroBMc   sbbknitroHR  sbbknitroHRc    sbbmosekBM   sbbmosekBMc  sbbmosekHR   sbbmosekHRc
RSyn0805M02              0.00001   0.00001  1.000010e-05             -             -             -  6.451634e-06  7.962966e-06  1.888419e-07             -        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0805M03              0.00001   0.00001  1.000010e-05             -             -             -             -             -  1.677360e-07             -        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0805M04              0.00001   0.00001  1.000010e-05  8.257445e-03             -             -             -             -  8.636656e-08             -        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0810M02              0.00001   0.00001  1.000010e-05             -             -             -             -             - -7.785026e-08             -        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  1.052833e-09
RSyn0810M03              0.00001   0.00001  1.000010e-05             -             -             -             -             -  1.602693e-07             -        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -             -  1.213272e-06  9.709712e-06             -             -           -  9.715016e-06
RSyn0810M04              0.00001   0.00001  1.000010e-05             -             -             -             -             -  7.695453e-08             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  6.818407e-08  0.000000e+00             -             -           -  0.000000e+00
RSyn0815M02              0.00001   0.00001  1.000010e-05             -             -             -             -             -  2.232629e-07             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0815M03              0.00001   0.00001  1.000010e-05             -             -             -             -             - -2.747449e-06             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  3.708133e-06             -             -           -  0.000000e+00
RSyn0815M04              0.00001   0.00001  1.000010e-05             -             -             -             -             -  7.413876e-06             -        -          -             -             -  0.000000e+00  0.000000e+00             -             -  0.000000e+00  2.327942e-09             -             -           -  0.000000e+00
RSyn0820M02              0.00001   0.00001  1.000010e-05             -             -             -             -             -  1.819397e-07             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0820M03              0.00001   0.00001  1.000010e-05             -             -             -             -             -  7.823102e-06             -        -          -             -             -  0.000000e+00  0.000000e+00             -             -  4.107829e-06  0.000000e+00             -             -           -  7.430344e-06
RSyn0820M04              0.00001   0.00001  1.000010e-05             -             -             -             -             -  1.665941e-07             -        -          -             -             -  0.000000e+00  0.000000e+00             -             -  0.000000e+00  1.919644e-10             -             -           -  9.801132e-06
RSyn0830M02              0.00001   0.00001  1.000010e-05             -             -             -             -             - -2.555521e-08             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  1.802128e-06             -             -             -           -  1.785944e-06
RSyn0830M03              0.00001   0.00001  1.000010e-05             -             -             -             -  8.778504e-03 -2.265569e-08             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0830M04              0.00001   0.00001             -             -             -             -             -             -  4.246847e-06             -        -          -             -             -  0.000000e+00  0.000000e+00             -             -  9.214043e-06  5.065710e-06             -             -           -  9.942342e-06
RSyn0840M02              0.00001   0.00001  1.000010e-05             -             -             -             -             - -6.766103e-08             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  0.000000e+00  0.000000e+00             -             -           -  0.000000e+00
RSyn0840M03              0.00001   0.00001  1.000010e-05             -             -             -             -             - -1.640866e-08             -        -          -             -  0.000000e+00  0.000000e+00  0.000000e+00             -             -  2.512272e-06  0.000000e+00             -             -           -  2.509452e-06
RSyn0840M04              0.00001         -             -             -             -             -             -             -  4.670317e-06             -        -          -             -             -  0.000000e+00  0.000000e+00             -             -  4.605070e-04  7.430643e-06             -             -           -  9.382942e-06
Syn05M02                 0.00001   0.00001  1.000010e-05             -             -             - -9.565672e-12  0.000000e+00 -1.049059e-09 -3.668767e-10        -          -  0.000000e+00  0.000000e+00  6.982161e-08  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -  0.000000e+00           -  0.000000e+00
Syn05M03                 0.00001   0.00001  1.000010e-05             -             -             -  0.000000e+00  0.000000e+00 -9.939733e-11 -6.225052e-10        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00             -  0.000000e+00           -  0.000000e+00
Syn05M04                 0.00001   0.00001  1.000010e-05             -             -             -  0.000000e+00  0.000000e+00 -8.824683e-07 -2.325799e-11        -          -  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.400636e-08  0.000000e+00             -  0.000000e+00           -  0.000000e+00
