                              baronBM      baronBMc       baronHR      baronHRc       cplexBM      cplexHRc      knitroBM     knitroBMc      knitroHR     knitroHRc       mosekBM     mosekBM.2      mosekBMc    mosekBMc.2      mosekHRc    mosekHRc.2   sbbknitroBM  sbbknitroBMc   sbbknitroHR  sbbknitroHRc    sbbmosekBM   sbbmosekBMc  sbbmosekHR   sbbmosekHRc
RSyn0805M02             -1.991461e-07 -1.992033e-07 -1.991475e-07             -             -             - -1.992530e-07 -1.992253e-07             -             -             -             - -1.988142e-07 -9.887204e-06 -1.731155e-07 -3.770052e-06             -             - -3.782522e-07 -1.926590e-07             -             -           - -1.944615e-07
RSyn0805M03             -1.352852e-07 -1.356176e-07 -1.352822e-07             -             -             -             -             - -1.353444e-07             -             -             - -1.377903e-07 -8.233566e-06 -1.469901e-07 -2.981267e-06             -             - -3.024069e-07 -1.324655e-07             -             -           - -1.281192e-07
RSyn0805M04             -1.456314e-08 -4.937707e-09 -4.929526e-09             -             -             -             -             - -4.836193e-09             -             -             - -5.820727e-09 -1.556921e-06 -5.288482e-09 -2.773713e-06             -             - -9.008516e-08 -1.964926e-09             -             -           - -4.592040e-09
RSyn0810M02              8.303490e-08  8.301992e-08  8.300540e-08             -             -             -             -             -  8.287836e-08             -             -             -  7.875954e-08 -3.490312e-06  1.045394e-07 -2.354797e-06             -             - -8.876359e-08  8.915948e-08             -             -           -  1.080647e-07
RSyn0810M03             -2.145683e-09 -2.140750e-09 -2.140621e-09             -             -             -             -             - -2.278034e-09             -             -             - -6.751148e-09 -1.802702e-06 -9.751801e-09 -2.604355e-06             -             - -1.615271e-07  3.948211e-09             -             -           - -5.032423e-09
RSyn0810M04             -6.201797e-08 -6.201741e-08 -6.201716e-08             -             -             -             -             -             -             -             -             - -6.267228e-08 -2.791197e-06 -6.598824e-08 -3.431825e-06             -             -  3.117522e-04  3.087308e-04             -             -           - -6.150327e-08
RSyn0815M02             -1.901278e-07 -1.888937e-07 -1.888938e-07             -             -             -             -             - -1.889735e-07             -             -             - -1.885792e-07 -4.407352e-06 -1.355683e-07 -1.503377e-06             -             - -4.105770e-07  3.403841e-04             -             -           - -1.442804e-07
RSyn0815M03              3.869657e-08  3.885107e-08  3.858274e-08             -             -             -             -             -  3.915265e-08             -             -             -  3.574250e-08 -2.469799e-06  4.735107e-08 -8.083339e-06             -             - -1.351757e-07  5.700942e-08             -             -           -  4.343946e-08
RSyn0815M04             -1.013623e-07 -1.008475e-07 -1.008516e-07             -             -             -             -             - -1.009306e-07             -             -             -             - -4.807620e-06 -1.019274e-07 -8.415162e-06             -             - -3.025476e-07 -8.380138e-08             -             -           - -1.009397e-07
RSyn0820M02             -9.228751e-08 -9.231119e-08 -9.228753e-08             -             -             -             -             - -9.248558e-08             -             -             -             - -1.261900e-06 -9.413651e-08 -1.925974e-06             -             - -2.752719e-07  6.066295e-04             -             -           - -6.472324e-08
