Absolute performance profile for Gap
Filter: no fail
          baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.000000        3         0        6         1      124       122       216        133       220         80      188        155       372         353       376         337          230           224          260           155         133          253           0          264
0.001001      391       205      360       159      184       183       310        176       339        143      188        155       375         355       393         369          295           296          340           190         144          298           0          345
0.002001      391       205      360       159      184       183       327        176       357        160      188        155       375         355       393         369          296           296          340           190         144          299           0          345
0.003002      391       205      360       159      184       183       335        176       360        166      188        155       375         355       393         369          296           297          340           190         144          299           0          345
0.004002      391       205      360       159      184       183       337        176       369        169      188        155       375         355       393         369          296           297          340           190         144          299           0          345
0.005003      391       205      360       159      184       183       341        176       370        173      188        155       375         355       393         369          296           298          340           190         144          301           0          345
0.006003      391       205      360       159      184       183       341        176       371        174      188        155       375         355       393         369          298           299          340           190         144          301           0          345
0.007004      391       205      360       160      184       183       342        176       374        176      188        155       375         355       393         369          298           299          340           190         144          301           0          345
0.008004      391       205      360       160      184       183       344        176       376        180      188        155       375         355       393         369          298           299          340           190         144          301           0          345
0.009005      391       205      360       161      184       183       344        177       376        180      188        155       375         355       393         369          298           299          340           190         144          301           0          345
0.010005      391       205      360       162      184       183       346        177       378        180      188        155       375         355       393         369          299           299          340           190         144          301           0          345
0.011006      391       205      361       164      184       183       346        177       378        181      188        155       375         355       393         369          299           300          340           190         144          301           0          345
0.012006      391       205      361       164      184       183       348        177       378        182      188        155       375         355       393         369          299           300          340           190         144          301           0          345
0.013007      391       205      361       164      184       183       348        177       379        182      188        155       375         355       393         369          299           301          340           190         144          301           0          345
0.014007      391       205      361       164      184       183       348        177       379        182      188        155       375         355       393         369          299           301          341           190         144          302           0          345
0.015008      391       205      361       164      184       183       350        177       379        182      188        155       375         355       393         369          299           301          341           190         144          302           0          345
0.016008      391       205      361       164      184       183       350        177       381        183      188        155       375         355       393         369          299           301          341           190         144          302           0          345
0.017009      391       205      361       164      184       183       350        177       381        183      188        155       375         355       393         369          299           301          341           190         144          302           0          345
0.018009      391       205      361       164      184       183       350        177       381        183      188        155       375         355       393         369          299           301          341           190         144          302           0          345
0.019010      391       205      361       164      184       183       350        177       381        183      188        155       375         355       393         369          300           301          341           190         144          302           0          345
0.020010      391       205      361       165      184       183       351        177       381        183      188        155       375         355       393         369          300           302          341           190         144          303           0          345
0.021011      391       205      361       165      184       183       351        177       381        184      188        155       375         355       393         369          300           302          341           190         144          303           0          345
0.022011      391       205      362       165      184       183       351        177       381        185      188        155       375         355       393         369          300           302          341           190         144          303           0          345
0.023012      391       205      362       165      184       183       351        177       381        185      188        155       375         355       393         369          300           302          341           190         144          303           0          345
0.024012      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          300           302          341           190         144          303           0          345
0.025013      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          300           303          341           190         144          304           0          345
0.026013      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          300           304          341           190         144          304           0          345
0.027014      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.028014      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.029015      391       205      362       166      184       183       351        177       381        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.030015      391       205      362       166      184       183       351        177       382        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.031016      391       205      362       166      184       183       351        177       382        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.032016      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          301           304          341           190         144          304           0          345
0.033017      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           305          341           190         144          304           0          345
0.034017      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           305          341           190         144          305           0          345
0.035018      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           305          341           190         144          305           0          345
0.036018      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           305          341           190         144          305           0          345
0.037019      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           306          342           190         144          306           0          345
0.038019      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           306          342           190         144          306           0          345
0.039020      391       205      362       167      184       183       351        177       382        185      188        155       375         355       393         369          302           306          342           190         144          306           0          345
0.040020      391       205      363       167      184       183       351        177       382        185      188        155       375         355       393         369          302           306          342           190         144          306           0          345
