Absolute performance profile for PrimalGap
Filter: no fail
          baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
0.000000      170       117      182        78       38        37       140         93       153         43       41        114        99         295       120         305          135           135          171            74          39          108           0          109
0.001001      393       197      370       167      184       188       349        168       374        177      191        172       372         366       390         389          308           300          340           169         144          288           0          333
0.002001      393       197      372       167      184       188       350        168       376        180      191        172       373         367       390         389          308           300          340           170         144          288           0          333
0.003002      393       197      372       168      184       188       350        168       377        181      191        173       373         368       390         389          308           300          341           171         144          288           0          333
0.004002      393       197      372       168      184       188       350        168       377        181      191        173       373         368       390         389          308           300          341           173         144          288           0          333
0.005003      393       197      373       168      184       188       350        168       378        182      191        173       373         368       390         389          308           300          341           176         144          289           0          333
0.006003      393       197      373       168      184       188       350        168       378        182      191        173       373         369       390         389          308           300          341           177         144          289           0          333
0.007004      393       197      373       169      184       188       350        169       378        182      191        173       373         369       390         389          308           300          341           177         144          289           0          333
0.008004      394       197      374       171      184       189       351        169       379        182      191        173       373         369       390         390          308           300          341           178         144          289           0          333
0.009005      394       197      375       172      184       189       351        169       380        182      191        173       373         369       390         390          308           300          341           179         144          289           0          333
0.010005      394       197      375       174      184       189       351        169       380        182      191        173       373         369       390         390          309           301          341           179         144          290           0          333
0.011006      394       197      375       176      184       189       351        169       380        182      191        173       373         369       390         390          309           301          341           180         144          291           0          333
0.012006      394       197      376       176      184       189       351        169       380        182      191        173       373         369       390         390          309           301          341           181         144          291           0          333
0.013007      394       197      376       176      184       189       351        169       380        183      191        175       373         371       390         390          309           301          341           181         144          291           0          333
0.014007      394       197      376       177      184       189       351        169       380        184      191        175       373         371       390         390          309           301          341           181         144          291           0          333
0.015008      395       197      377       178      184       189       351        169       380        184      191        176       373         372       390         390          309           301          341           181         144          291           0          333
0.016008      395       197      377       178      184       189       351        169       380        184      191        176       373         372       390         390          309           301          344           181         144          291           0          333
0.017009      396       197      377       179      184       189       351        169       380        184      191        176       373         372       390         390          309           301          344           181         144          291           0          333
0.018009      396       197      377       179      184       189       351        169       380        184      191        176       373         372       390         390          309           301          344           181         144          291           0          333
0.019010      396       197      377       179      184       190       351        169       380        184      191        176       374         372       390         390          309           301          344           181         144          291           0          333
0.020010      396       197      377       179      184       190       351        169       381        184      191        177       374         373       390         390          309           301          344           181         144          291           0          333
0.021011      396       197      377       179      184       190       351        169       381        185      191        177       374         373       390         390          309           301          344           181         144          292           0          333
0.022011      396       197      377       179      184       190       351        169       381        185      191        177       375         373       390         390          309           301          345           182         144          292           0          333
0.023012      396       197      377       179      184       190       351        169       381        185      191        177       376         373       390         390          309           302          345           182         144          292           0          333
0.024012      396       197      377       180      184       190       351        169       381        185      191        177       376         373       390         390          309           302          345           182         144          292           0          333
0.025013      396       197      377       180      184       190       351        169       381        185      191        177       376         373       390         390          309           302          345           182         144          292           0          333
0.026013      396       197      377       180      184       190       351        169       381        185      191        177       376         373       390         390          309           302          345           182         144          292           0          333
0.027014      396       197      378       180      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.028014      396       197      378       180      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.029015      396       197      378       181      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.030015      396       197      378       181      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.031016      396       197      378       181      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.032016      396       197      378       182      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.033017      396       197      378       182      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          335
0.034017      396       197      378       182      184       190       351        169       381        185      191        177       376         373       390         390          309           302          346           183         144          293           0          336
