                         baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                    -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0805M03                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0805M04                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0810M02                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0810M03                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0810M04                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0815M02                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0815M03                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0815M04                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0         1.0         -           -            -             -            -             -           -            -           -            -
RSyn0820M02                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0820M03                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0         1.0         -           -            -             -            -             -           -            -           -            -
RSyn0820M04                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0         1.0         -           -            -             -            -             -           -            -           -            -
RSyn0830M02                    -         -        -       1.0        -         -       1.0        1.0         -        1.0        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0830M03                    -         -        -       1.0        -         -       1.0        1.0         -        1.0        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0830M04                    -         -      1.0       1.0        -         -       1.0        1.0         -          -        -          -       1.0         1.0         -           -            -           1.0            -             -           -            -           -            -
RSyn0840M02                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0840M03                    -         -        -       1.0        -         -       1.0        1.0         -          -        -          -       1.0           -         -           -            -             -            -             -           -            -           -            -
RSyn0840M04                    -       1.0      1.0       1.0        -         -       1.0        1.0         -          -        -          -       1.0         1.0         -           -            -           1.0          1.0             -           -            -           -            -
Syn05M02                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn05M03                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn05M04                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn10M02                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn10M03                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn10M04                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn15M02                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn15M03                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn15M04                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn20M02                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn20M03                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn20M04                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn30M02                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn30M03                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn30M04                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn40M02                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn40M03                       -         -        -       1.0        -         -       1.0        1.0         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
Syn40M04                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0805                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0810                       -         -        -       3.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
RSyn0815                       -         -        -       1.0        -         -         -          -         -          -        -          -         -           -         -           -            -             -            -             -           -            -           -            -
