                        baronBM  baronBMc  baronHR  baronHRc  cplexBM  cplexHRc  knitroBM  knitroBMc  knitroHR  knitroHRc  mosekBM  mosekBM.2  mosekBMc  mosekBMc.2  mosekHRc  mosekHRc.2  sbbknitroBM  sbbknitroBMc  sbbknitroHR  sbbknitroHRc  sbbmosekBM  sbbmosekBMc  sbbmosekHR  sbbmosekHRc
RSyn0805M02                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0805M03                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0805M04                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0810M02                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0810M03                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0810M04                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0815M02                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0815M03                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0815M04                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0820M02                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0820M03                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0820M04                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0830M02                   -         -        -         -        -         -         -          -         -          -        -          -         -           -         -           -          8.0           8.0            -           8.0           -          8.0           -            -
RSyn0830M03                   -         -        -         -        -         -         -          -         -          -        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0830M04                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0             -            -             -           -          8.0           -            -
RSyn0840M02                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
RSyn0840M03                   -         -        -         -        -         -         -          -         -        8.0        -          -         -           -         -           -          8.0           8.0            -             -           -          8.0           -            -
